date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-03-30,16.42,16.42,15.84,15.66,186887.34,-0.82,-4.92,16.796,17.007,17.795,160700.79,186050.1,260932.22
2020-03-27,17.04,17.1,16.66,16.66,109612.43,-0.2,-1.19,16.994,17.093,17.948,155916.43,192240.86,265978.01
2020-03-26,17.2,17.24,16.86,16.85,156464.73,-0.51,-2.94,17.2,17.188,18.026,169626.64,215062.66,280105.71
2020-03-25,17.6,17.65,17.37,17.21,191104.72,0.12,0.7,17.32,17.302,18.183,185348.44,219797.65,289808.97
2020-03-24,17.2,17.33,17.25,16.7,159434.73,0.42,2.5,17.226,17.379,18.304,193616.07,224076.51,302888.34
2020-03-23,17.16,17.33,16.83,16.75,162965.56,-0.86,-4.86,17.218,17.528,18.473,211399.42,238370.22,331980.03
2020-03-20,17.7,17.72,17.69,17.26,178163.48,0.23,1.32,17.192,17.638,18.705,228565.29,254449.52,352486.33
2020-03-19,17.0,17.59,17.46,16.87,235073.69,0.56,3.31,17.176,17.789,18.886,260498.67,259090.41,377645.23
2020-03-18,17.52,17.75,16.9,16.88,232442.91,-0.31,-1.8,17.284,18.01,19.038,254246.86,287127.61,399097.26
2020-03-17,17.05,17.35,17.21,16.31,248351.44,0.51,3.05,17.532,18.336,19.154,254536.95,317355.03,411894.23
2020-03-16,17.65,17.66,16.7,16.7,248794.95,-0.91,-5.17,17.838,18.583,19.245,265341.02,335814.33,419442.29
2020-03-13,17.01,17.74,17.61,16.81,337830.38,-0.39,-2.17,18.084,18.803,19.355,280333.74,339715.15,428263.98
2020-03-12,17.82,18.14,18.0,17.7,203814.62,-0.14,-0.77,18.402,18.864,19.366,257682.14,345148.77,426892.59
2020-03-11,18.83,18.88,18.14,18.11,233893.34,-0.6,-3.2,18.736,19.063,19.35,320008.36,359820.29,432986.76
2020-03-10,17.87,18.78,18.74,17.77,302371.81,0.81,4.52,19.14,19.229,19.342,380173.12,381700.16,442291.85
2020-03-09,18.55,18.8,17.93,17.9,323758.56,-1.27,-6.62,19.328,19.418,19.261,406287.64,425589.84,444009.89
2020-03-06,19.28,19.65,19.2,19.12,224572.36,-0.47,-2.39,19.522,19.772,19.247,399096.55,450523.15,443773.47
2020-03-05,20.4,20.48,19.67,19.25,515445.75,-0.49,-2.43,19.326,19.982,19.175,432615.39,496200.06,450980.58
2020-03-04,20.0,20.73,20.16,19.54,534717.12,0.48,2.44,19.39,20.066,19.05,399632.21,511066.91,442154.75
2020-03-03,19.26,20.3,19.68,19.2,432944.41,0.78,4.13,19.318,19.972,18.877,383227.2,506433.43,433956.98
2020-03-02,18.6,19.11,18.9,18.31,287803.12,0.68,3.73,19.508,19.907,18.721,444892.03,503070.26,432744.62
2020-02-28,18.9,19.37,18.22,18.14,392166.56,-1.77,-8.85,20.022,19.906,18.616,501949.75,516812.82,420766.71
2020-02-27,19.97,20.6,19.99,19.61,350529.84,0.19,0.96,20.638,19.868,18.639,559784.72,508636.42,420030.48
