FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2020-10-28,2.4413,3.8813,,,1,0.26,开放申购,开放赎回,,,,
2020-10-27,2.4349,3.8749,,,1,0.11,开放申购,开放赎回,,,,
2020-10-26,2.4322,3.8722,,,1,-0.03,开放申购,开放赎回,,,,
2020-10-23,2.4329,3.8729,,,1,-0.36,开放申购,开放赎回,,,,
2020-10-22,2.4416,3.8816,,,1,-0.19,开放申购,开放赎回,,,,
2020-10-21,2.4462,3.8862,,,1,0.04,开放申购,开放赎回,,,,
2020-10-20,2.4452,3.8852,,,1,0.31,开放申购,开放赎回,,,,
2020-10-19,2.4377,3.8777,,,1,-0.23,开放申购,开放赎回,,,,
2020-10-16,2.4432,3.8832,,,1,-0.01,开放申购,开放赎回,,,,
2020-10-15,2.4435,3.8835,,,1,-0.03,开放申购,开放赎回,,,,
2020-10-14,2.4442,3.8842,,,1,-0.05,开放申购,开放赎回,,,,
2020-10-13,2.4454,3.8854,,,1,0.28,开放申购,开放赎回,,,,
2020-10-12,2.4385,3.8785,,,1,0.64,开放申购,开放赎回,,,,
2020-10-09,2.4229,3.8629,,,1,0.59,开放申购,开放赎回,,,,
2020-09-30,2.4086,3.8486,,,1,-0.04,开放申购,开放赎回,,,,
2020-09-29,2.4095,3.8495,,,1,0.14,开放申购,开放赎回,,,,
2020-09-28,2.4061,3.8461,,,1,0.05,开放申购,开放赎回,,,,
2020-09-25,2.4049,3.8449,,,1,-0.03,开放申购,开放赎回,,,,
2020-09-24,2.4057,3.8457,,,1,-0.54,开放申购,开放赎回,,,,
2020-09-23,2.4188,3.8588,,,1,0.07,开放申购,开放赎回,,,,
2020-09-22,2.4170,3.8570,,,1,-0.31,开放申购,开放赎回,,,,
2020-09-21,2.4245,3.8645,,,1,-0.08,开放申购,开放赎回,,,,
2020-09-18,2.4264,3.8664,,,1,0.53,开放申购,开放赎回,,,,
2020-09-17,2.4136,3.8536,,,1,0.00,开放申购,开放赎回,,,,
2020-09-16,2.4136,3.8536,,,1,-0.08,开放申购,开放赎回,,,,
2020-09-15,2.4156,3.8556,,,1,0.28,开放申购,开放赎回,,,,
2020-09-14,2.4088,3.8488,,,1,0.15,开放申购,开放赎回,,,,
2020-09-11,2.4052,3.8452,,,1,0.23,开放申购,开放赎回,,,,
2020-09-10,2.3996,3.8396,,,1,0.01,开放申购,开放赎回,,,,
2020-09-09,2.3993,3.8393,,,1,-0.67,开放申购,开放赎回,,,,
2020-09-08,2.4156,3.8556,,,1,0.24,开放申购,开放赎回,,,,
2020-09-07,2.4097,3.8497,,,1,-0.56,开放申购,开放赎回,,,,
2020-09-04,2.4233,3.8633,,,1,-0.30,开放申购,开放赎回,,,,
2020-09-03,2.4307,3.8707,,,1,-0.20,开放申购,开放赎回,,,,
2020-09-02,2.4355,3.8755,,,1,-0.16,开放申购,开放赎回,,,,
2020-09-01,2.4393,3.8793,,,1,0.15,开放申购,开放赎回,,,,
2020-08-31,2.4357,3.8757,,,1,-0.14,开放申购,开放赎回,,,,
2020-08-28,2.4391,3.8791,,,1,0.69,开放申购,开放赎回,,,,
2020-08-27,2.4224,3.8624,,,1,0.29,开放申购,开放赎回,,,,
2020-08-26,2.4155,3.8555,,,1,-0.38,开放申购,开放赎回,,,,
2020-08-25,2.4248,3.8648,,,1,-0.05,开放申购,开放赎回,,,,
2020-08-24,2.4260,3.8660,,,1,0.13,开放申购,开放赎回,,,,
2020-08-21,2.4229,3.8629,,,1,0.29,开放申购,开放赎回,,,,
2020-08-20,2.4159,3.8559,,,1,-0.47,开放申购,开放赎回,,,,
2020-08-19,2.4273,3.8673,,,1,-0.23,开放申购,开放赎回,,,,
2020-08-18,2.4330,3.8730,,,1,0.25,开放申购,开放赎回,,,,
2020-08-17,2.4269,3.8669,,,1,0.65,开放申购,开放赎回,,,,
2020-08-14,2.4113,3.8513,,,1,0.45,开放申购,开放赎回,,,,
2020-08-13,2.4005,3.8405,,,1,0.09,开放申购,开放赎回,,,,
2020-08-12,2.3983,3.8383,,,1,-0.37,开放申购,开放赎回,,,,
2020-08-11,2.4072,3.8472,,,1,-0.16,开放申购,开放赎回,,,,
2020-08-10,2.4110,3.8510,,,1,0.29,开放申购,开放赎回,,,,
2020-08-07,2.4040,3.8440,,,1,-0.12,开放申购,开放赎回,,,,
2020-08-06,2.4068,3.8468,,,1,0.03,开放申购,开放赎回,,,,
2020-08-05,2.4060,3.8460,,,1,0.14,开放申购,开放赎回,,,,
2020-08-04,2.4026,3.8426,,,1,0.21,开放申购,开放赎回,,,,
2020-08-03,2.3976,3.8376,,,1,0.43,开放申购,开放赎回,,,,
2020-07-31,2.3873,3.8273,,,1,0.08,开放申购,开放赎回,,,,
2020-07-30,2.3853,3.8253,,,1,-0.16,开放申购,开放赎回,,,,
2020-07-29,2.3891,3.8291,,,1,0.55,开放申购,开放赎回,,,,
2020-07-28,2.3760,3.8160,,,1,0.34,开放申购,开放赎回,,,,
2020-07-27,2.3679,3.8079,,,1,0.09,开放申购,开放赎回,,,,
2020-07-24,2.3657,3.8057,,,1,-1.11,开放申购,开放赎回,,,,
2020-07-23,2.3922,3.8322,,,1,-0.01,开放申购,开放赎回,,,,
2020-07-22,2.3924,3.8324,,,1,0.16,开放申购,开放赎回,,,,
2020-07-21,2.3885,3.8285,,,1,0.22,开放申购,开放赎回,,,,
2020-07-20,2.3832,3.8232,,,1,0.83,开放申购,开放赎回,,,,
2020-07-17,2.3636,3.8036,,,1,0.55,开放申购,开放赎回,,,,
2020-07-16,2.3507,3.7907,,,1,-1.13,开放申购,开放赎回,,,,
2020-07-15,2.3776,3.8176,,,1,-0.03,开放申购,开放赎回,,,,
2020-07-14,2.3784,3.8184,,,1,-0.25,开放申购,开放赎回,,,,
2020-07-13,2.3843,3.8243,,,1,0.54,开放申购,开放赎回,,,,
2020-07-10,2.3715,3.8115,,,1,-0.51,开放申购,开放赎回,,,,
2020-07-09,2.3836,3.8236,,,1,0.22,开放申购,开放赎回,,,,
2020-07-08,2.3784,3.8184,,,1,0.38,开放申购,开放赎回,,,,
2020-07-07,2.3694,3.8094,,,1,0.17,开放申购,开放赎回,,,,
2020-07-06,2.3654,3.8054,,,1,1.60,开放申购,开放赎回,,,,
2020-07-03,2.3282,3.7682,,,1,0.52,开放申购,开放赎回,,,,
2020-07-02,2.3162,3.7562,,,1,0.44,开放申购,开放赎回,,,,
2020-07-01,2.3061,3.7461,,,1,0.57,开放申购,开放赎回,,,,
2020-06-30,2.2930,3.7330,,,1,0.33,开放申购,开放赎回,,,,
2020-06-29,2.2854,3.7254,,,1,-0.08,开放申购,开放赎回,,,,
2020-06-24,2.2872,3.7272,,,1,0.27,开放申购,开放赎回,,,,
2020-06-23,2.2811,3.7211,,,1,0.03,开放申购,开放赎回,,,,
2020-06-22,2.2805,3.7205,,,1,-0.09,开放申购,开放赎回,,,,
2020-06-19,2.2826,3.7226,,,1,0.32,开放申购,开放赎回,,,,
2020-06-18,2.2754,3.7154,,,1,0.09,开放申购,开放赎回,,,,
2020-06-17,2.2734,3.7134,,,1,0.00,开放申购,开放赎回,,,,
2020-06-16,2.2733,3.7133,,,1,0.38,开放申购,开放赎回,,,,
2020-06-15,2.2646,3.7046,,,1,-0.38,开放申购,开放赎回,,,,
2020-06-12,2.2733,3.7133,,,1,0.19,开放申购,开放赎回,,,,
2020-06-11,2.2690,3.7090,,,1,-0.31,开放申购,开放赎回,,,,
2020-06-10,2.2760,3.7160,,,1,-0.03,开放申购,开放赎回,,,,
2020-06-09,2.2767,3.7167,,,1,0.22,开放申购,开放赎回,,,,
2020-06-08,2.2717,3.7117,,,1,0.07,开放申购,开放赎回,,,,
2020-06-05,2.2700,3.7100,,,1,-0.15,开放申购,开放赎回,,,,
2020-06-04,2.2733,3.7133,,,1,-0.03,开放申购,开放赎回,,,,
2020-06-03,2.2739,3.7139,,,1,-0.09,开放申购,开放赎回,,,,
2020-06-02,2.2759,3.7159,,,1,-0.21,开放申购,开放赎回,,,,
2020-06-01,2.2806,3.7206,,,1,0.59,开放申购,开放赎回,,,,
2020-05-29,2.2673,3.7073,,,1,0.10,开放申购,开放赎回,,,,
2020-05-28,2.2651,3.7051,,,1,0.08,开放申购,开放赎回,,,,
2020-05-27,2.2632,3.7032,,,1,-0.12,开放申购,开放赎回,,,,
2020-05-26,2.2659,3.7059,,,1,0.27,开放申购,开放赎回,,,,
2020-05-25,2.2599,3.6999,,,1,0.11,开放申购,开放赎回,,,,
2020-05-22,2.2575,3.6975,,,1,-0.58,开放申购,开放赎回,,,,
2020-05-21,2.2706,3.7106,,,1,-0.12,开放申购,开放赎回,,,,
2020-05-20,2.2733,3.7133,,,1,-0.15,开放申购,开放赎回,,,,
2020-05-19,2.2766,3.7166,,,1,0.30,开放申购,开放赎回,,,,
2020-05-18,2.2697,3.7097,,,1,0.01,开放申购,开放赎回,,,,
2020-05-15,2.2694,3.7094,,,1,-0.04,开放申购,开放赎回,,,,
2020-05-14,2.2703,3.7103,,,1,-0.33,开放申购,开放赎回,,,,
2020-05-13,2.2779,3.7179,,,1,0.17,开放申购,开放赎回,,,,
2020-05-12,2.2740,3.7140,,,1,0.12,开放申购,开放赎回,,,,
2020-05-11,2.2712,3.7112,,,1,-0.18,开放申购,开放赎回,,,,
2020-05-08,2.2754,3.7154,,,1,0.28,开放申购,开放赎回,,,,
2020-05-07,2.2691,3.7091,,,1,-0.07,开放申购,开放赎回,,,,
2020-05-06,2.2706,3.7106,,,1,0.10,开放申购,开放赎回,,,,
2020-04-30,2.2683,3.7083,,,1,0.36,开放申购,开放赎回,,,,
2020-04-29,2.2602,3.7002,,,1,0.29,开放申购,开放赎回,,,,
2020-04-28,2.2537,3.6937,,,1,0.15,开放申购,开放赎回,,,,
2020-04-27,2.2504,3.6904,,,1,0.32,开放申购,开放赎回,,,,
2020-04-24,2.2433,3.6833,,,1,-0.19,开放申购,开放赎回,,,,
2020-04-23,2.2476,3.6876,,,1,-0.02,开放申购,开放赎回,,,,
2020-04-22,2.2481,3.6881,,,1,0.28,开放申购,开放赎回,,,,
2020-04-21,2.2418,3.6818,,,1,-0.28,开放申购,开放赎回,,,,
2020-04-20,2.2482,3.6882,,,1,0.14,开放申购,开放赎回,,,,
2020-04-17,2.2451,3.6851,,,1,0.14,开放申购,开放赎回,,,,
2020-04-16,2.2420,3.6820,,,1,0.08,开放申购,开放赎回,,,,
2020-04-15,2.2403,3.6803,,,1,-0.15,开放申购,开放赎回,,,,
2020-04-14,2.2437,3.6837,,,1,0.56,开放申购,开放赎回,,,,
