FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
2020-10-28,1.6450,2.0670,0.06,限制大额申购,开放赎回,,,1,,,,
2020-10-27,1.6440,2.0660,0.00,限制大额申购,开放赎回,,,1,,,,
2020-10-26,1.6440,2.0660,0.00,限制大额申购,开放赎回,,,1,,,,
2020-10-23,1.6440,2.0660,-0.06,限制大额申购,开放赎回,,,1,,,,
2020-10-22,1.6450,2.0670,0.00,限制大额申购,开放赎回,,,1,,,,
2020-10-21,1.6450,2.0670,0.24,限制大额申购,开放赎回,,,1,,,,
2020-10-20,1.6410,2.0630,0.00,限制大额申购,开放赎回,,,1,,,,
2020-10-19,1.6410,2.0630,0.18,限制大额申购,开放赎回,,,1,,,,
2020-10-16,1.6380,2.0600,0.12,限制大额申购,开放赎回,,,1,,,,
2020-10-15,1.6360,2.0580,0.06,限制大额申购,开放赎回,,,1,,,,
2020-10-14,1.6350,2.0570,0.00,限制大额申购,开放赎回,,,1,,,,
2020-10-13,1.6350,2.0570,0.18,限制大额申购,开放赎回,,,1,,,,
2020-10-12,1.6320,2.0540,0.25,限制大额申购,开放赎回,,,1,,,,
2020-10-09,1.6280,2.0500,0.06,限制大额申购,开放赎回,,,1,,,,
2020-09-30,1.6270,2.0490,0.00,限制大额申购,开放赎回,,,1,,,,
2020-09-29,1.6270,2.0490,-0.12,限制大额申购,开放赎回,,,1,,,,
2020-09-28,1.6290,2.0510,0.12,限制大额申购,开放赎回,,,1,,,,
2020-09-25,1.6270,2.0490,0.00,限制大额申购,开放赎回,,,1,,,,
2020-09-24,1.6270,2.0490,-0.25,限制大额申购,开放赎回,,,1,,,,
2020-09-23,1.6310,2.0530,-0.06,限制大额申购,开放赎回,,,1,,,,
2020-09-22,1.6320,2.0540,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-09-21,1.6330,2.0550,,,1,0.06,限制大额申购,开放赎回,,,,
2020-09-18,1.6320,2.0540,,,1,0.25,限制大额申购,开放赎回,,,,
2020-09-17,1.6280,2.0500,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-09-16,1.6290,2.0510,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-09-15,1.6310,2.0530,,,1,0.18,限制大额申购,开放赎回,,,,
2020-09-14,1.6280,2.0500,,,1,0.00,限制大额申购,开放赎回,,,,
2020-09-11,1.6280,2.0500,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-09-10,1.6290,2.0510,,,1,0.00,限制大额申购,开放赎回,,,,
2020-09-09,1.6290,2.0510,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-09-08,1.6300,2.0520,,,1,0.12,限制大额申购,开放赎回,,,,
2020-09-07,1.6280,2.0500,,,1,-0.18,限制大额申购,开放赎回,,,,
2020-09-04,1.6310,2.0530,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-09-03,1.6330,2.0550,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-09-02,1.6350,2.0570,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-09-01,1.6370,2.0590,,,1,0.00,限制大额申购,开放赎回,,,,
2020-08-31,1.6370,2.0590,,,1,0.06,限制大额申购,开放赎回,,,,
2020-08-28,1.6360,2.0580,,,1,0.06,限制大额申购,开放赎回,,,,
2020-08-27,1.6350,2.0570,,,1,0.06,限制大额申购,开放赎回,,,,
2020-08-26,1.6340,2.0560,,,1,-0.18,限制大额申购,开放赎回,,,,
2020-08-25,1.6370,2.0590,,,1,-0.18,限制大额申购,开放赎回,,,,
2020-08-24,1.6400,2.0620,,,1,0.12,限制大额申购,开放赎回,,,,
2020-08-21,1.6380,2.0600,,,1,0.18,限制大额申购,开放赎回,,,,
2020-08-20,1.6350,2.0570,,,1,-0.24,限制大额申购,开放赎回,,,,
2020-08-19,1.6390,2.0610,,,1,-0.18,限制大额申购,开放赎回,,,,
2020-08-18,1.6420,2.0640,,,1,0.06,限制大额申购,开放赎回,,,,
2020-08-17,1.6410,2.0630,,,1,0.24,限制大额申购,开放赎回,,,,
2020-08-14,1.6370,2.0590,,,1,0.18,限制大额申购,开放赎回,,,,
2020-08-13,1.6340,2.0560,,,1,0.00,限制大额申购,开放赎回,,,,
2020-08-12,1.6340,2.0560,,,1,-0.24,限制大额申购,开放赎回,,,,
2020-08-11,1.6380,2.0600,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-08-10,1.6400,2.0620,,,1,0.12,限制大额申购,开放赎回,,,,
2020-08-07,1.6380,2.0600,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-08-06,1.6400,2.0620,,,1,0.00,限制大额申购,开放赎回,,,,
2020-08-05,1.6400,2.0620,,,1,0.12,限制大额申购,开放赎回,,,,
2020-08-04,1.6380,2.0600,,,1,0.06,限制大额申购,开放赎回,,,,
2020-08-03,1.6370,2.0590,,,1,0.12,限制大额申购,开放赎回,,,,
2020-07-31,1.6350,2.0570,,,1,0.00,限制大额申购,开放赎回,,,,
2020-07-30,1.6350,2.0570,,,1,-0.24,限制大额申购,开放赎回,,,,
2020-07-29,1.6390,2.0610,,,1,0.00,限制大额申购,开放赎回,,,,
2020-07-28,1.6390,2.0610,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-07-27,1.6400,2.0620,,,1,0.12,限制大额申购,开放赎回,,,,
2020-07-24,1.6380,2.0600,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-07-23,1.6390,2.0610,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-07-22,1.6400,2.0620,,,1,0.24,限制大额申购,开放赎回,,,,
2020-07-21,1.6360,2.0580,,,1,0.43,限制大额申购,开放赎回,,,,
2020-07-20,1.6290,2.0510,,,1,0.18,限制大额申购,开放赎回,,,,
2020-07-17,1.6260,2.0480,,,1,0.06,限制大额申购,开放赎回,,,,
2020-07-16,1.6250,2.0470,,,1,-0.25,限制大额申购,开放赎回,,,,
2020-07-15,1.6290,2.0510,,,1,0.12,限制大额申购,开放赎回,,,,
2020-07-14,1.6270,2.0490,,,1,0.00,限制大额申购,开放赎回,,,,
2020-07-13,1.6270,2.0490,,,1,-0.18,限制大额申购,开放赎回,,,,
2020-07-10,1.6300,2.0520,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-07-09,1.6320,2.0540,,,1,-0.12,限制大额申购,开放赎回,,,,
2020-07-08,1.6340,2.0560,,,1,0.12,限制大额申购,开放赎回,,,,
2020-07-07,1.6320,2.0540,,,1,-0.06,限制大额申购,开放赎回,,,,
2020-07-06,1.6330,2.0550,,,1,0.06,限制大额申购,开放赎回,,,,
2020-07-03,1.6320,2.0540,,,1,0.00,限制大额申购,开放赎回,,,,
2020-07-02,1.6320,2.0540,,,1,0.18,限制大额申购,开放赎回,,,,
