fundcode,name,category
000001,华夏成长混合,混合型
000002,华夏成长混合(后端),混合型
000003,中海可转债债券A,债券型
000004,中海可转债债券C,债券型
000005,嘉实增强信用定期债券,定开债券
000006,西部利得量化成长混合,混合型
000008,嘉实中证500ETF联接A,联接基金
000009,易方达天天理财货币A,货币型
000010,易方达天天理财货币B,货币型
000011,华夏大盘精选混合,混合型
000012,华夏大盘精选混合(后端),混合型
000013,易方达天天理财货币R,货币型
000014,华夏聚利债券,债券型
000015,华夏纯债债券A,债券型
000016,华夏纯债债券C,债券型
000017,财通可持续混合,混合型
000020,景顺长城品质投资混合,混合型
000021,华夏优势增长混合,混合型
000024,大摩双利增强债券A,债券型
000025,大摩双利增强债券C,债券型
000028,华富安鑫债券,债券型
000029,富国宏观策略灵活配置混合,混合型
000030,长城核心优选混合,混合型
000031,华夏复兴混合,混合型
000032,易方达信用债债券A,债券型
000033,易方达信用债债券C,债券型
000037,广发理财7天债券A,理财型
000038,广发理财7天债券B,理财型
000039,农银高增长混合,混合型
000041,华夏全球股票(QDII),QDII
000042,中证财通可持续发展100指数A,股票指数
000043,嘉实美国成长股票人民币,QDII
000044,嘉实美国成长股票美元现汇,QDII
000045,工银产业债债券A,债券型
000046,工银产业债债券B,债券型
000047,华夏双债债券A,债券型
000048,华夏双债债券C,债券型
000049,中银标普全球资源等权重指数,QDII-指数
000051,华夏沪深300ETF联接A,联接基金
000053,鹏华永诚一年定开债券,定开债券
000054,鹏华双债增利债券,债券型
000055,广发纳斯达克100美元现汇A,QDII-指数
000056,建信消费升级混合,混合型
000057,中银消费主题混合,混合型
000058,国联安安泰灵活配置混合,混合型
000059,国联安中证医药100A,股票指数
000061,华夏盛世混合,混合型
000063,长盛电子信息主题灵活配置混合,混合型
000064,大摩18个月定开债,定开债券
000065,国富焦点驱动混合,混合型
000066,诺安鸿鑫混合,混合型
000067,民生加银转债优选A,债券型
000068,民生加银转债优选C,债券型
000069,国投瑞银中高等级债券A,债券型
000070,国投瑞银中高等级债券C,债券型
000071,华夏恒生ETF联接A,QDII-指数
000072,华安稳健回报混合,混合型
000073,上投摩根成长动力混合,混合型
000074,工银信用纯债一年定开债A,定开债券
000075,华夏恒生ETF联接现汇,QDII-指数
000076,华夏恒生ETF联接现钞,QDII-指数
000077,工银信用纯债一年定开债C,定开债券
000078,工银信用纯债两年定开债A,定开债券
000079,工银信用纯债两年定开债C,定开债券
000080,天治可转债增强债券A,债券型
000081,天治可转债增强债券C,债券型
000082,嘉实研究阿尔法股票,股票型
000083,汇添富消费行业混合,混合型
000084,博时安盈债券A,债券型
000085,博时安盈债券C,债券型
000086,南方稳利1年定开债A,定开债券
000087,嘉实中证金边国债ETF联接A,联接基金
000088,嘉实中证金边国债ETF联接C,联接基金
000089,民生加银家盈理财月度A,理财型
000090,民生加银家盈理财月度B,理财型
000091,信诚新双盈分级债券,债券型
000092,信诚新双盈分级债券A,固定收益
000093,信诚新双盈分级债券B,分级杠杆
000103,国泰中国企业境外高收益债,QDII
000104,华宸未来稳健添利债券A,债券型
000105,建信安心回报债券A,定开债券
000106,建信安心回报债券C,定开债券
000107,富国稳健增强债券A/B,债券型
000108,富国稳健增强债券A/B(后端),债券型
000109,富国稳健增强债券C,债券型
000110,金鹰元安混合A,混合型
000111,易方达纯债1年定开债A,定开债券
000112,易方达纯债1年定开债C,定开债券
000113,嘉实如意宝定期债券A/B,定开债券
000114,嘉实如意宝定期债券A/B(后端),定开债券
000115,嘉实如意宝定期债券C,定开债券
000116,嘉实丰益纯债定期债券,定开债券
000117,广发轮动配置混合,混合型
000118,广发聚鑫债券A,债券型
000119,广发聚鑫债券C,债券型
000120,中银美丽中国混合,混合型
000121,华夏永福混合A,混合型
000122,汇添富实业债债券A,债券型
000123,汇添富实业债债券C,债券型
000124,华宝服务优选混合,混合型
000126,招商安润混合,混合型
000127,农银行业领先混合,混合型
000128,大成景安短融债券A,债券型
000129,大成景安短融债券B,债券型
000130,大成景兴信用债债券A,债券型
000131,大成景兴信用债债券C,债券型
000134,信诚理财28日盈A,理财型
000135,信诚理财28日盈B,理财型
000136,民生加银策略精选混合,混合型
000137,民生加银岁岁增利债券A,定开债券
000138,民生加银岁岁增利债券C,定开债券
000139,富国国有企业债债券A/B,债券型
000140,富国国有企业债债券A/B(后端),债券型
