日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2020-10-13,'000832,中证转债,369.063,369.2251,367.171,367.5725,367.629,1.434,0.3901,,14665781,24845039496.0,,,None
2020-10-12,'000832,中证转债,367.629,367.85,363.2431,363.2431,362.7307,4.8983,1.3504,,17226585,27405473715.0,,,None
2020-10-09,'000832,中证转债,362.7307,363.423,361.7525,361.7525,359.2124,3.5183,0.9794,,11819476,19183584205.0,,,None
2020-09-30,'000832,中证转债,359.2124,361.1805,358.0882,358.0882,357.9107,1.3017,0.3637,,13025541,21516159665.0,,,None
2020-09-29,'000832,中证转债,357.9107,358.2561,354.9506,354.9506,354.5783,3.3324,0.9398,,13261067,20146850384.0,,,None
2020-09-28,'000832,中证转债,354.5783,356.1584,354.2566,356.0028,355.7364,-1.1581,-0.3256,,9448178,14811847973.0,,,None
2020-09-25,'000832,中证转债,355.7364,357.6241,355.5767,357.2138,356.6898,-0.9534,-0.2673,,11951718,19686255261.0,,,None
2020-09-24,'000832,中证转债,356.6898,360.5331,356.6172,360.5331,360.8913,-4.2015,-1.1642,,10574296,17642350728.0,,,None
2020-09-23,'000832,中证转债,360.8913,361.5855,360.51,361.1332,360.8631,0.0282,0.0078,,11849571,21488754771.0,,,None
2020-09-22,'000832,中证转债,360.8631,363.176,360.7364,362.4344,362.539,-1.6759,-0.4623,,13836292,26410795122.0,,,None
2020-09-21,'000832,中证转债,362.539,364.3195,362.3824,363.9138,363.3802,-0.8412,-0.2315,,13001432,21938869548.0,,,None
2020-09-18,'000832,中证转债,363.3802,363.663,361.3174,361.884,361.6189,1.7613,0.4871,,14061873,24141426818.0,,,None
2020-09-17,'000832,中证转债,361.6189,362.5876,360.7465,362.5776,362.4884,-0.8695,-0.2399,,13565388,24972851131.0,,,None
2020-09-16,'000832,中证转债,362.4884,363.8872,362.2248,363.8787,363.7332,-1.2448,-0.3422,,14674907,26098242755.0,,,None
2020-09-15,'000832,中证转债,363.7332,364.3704,363.1827,363.9454,363.7368,-0.0036,-0.001,,11548451,19576028884.0,,,None
2020-09-14,'000832,中证转债,363.7368,364.8476,363.1211,363.7399,362.9469,0.7899,0.2176,,11592854,18022189657.0,,,None
2020-09-11,'000832,中证转债,362.9469,363.0073,361.0569,361.4829,361.5195,1.4274,0.3948,,12204243,19686931066.0,,,None
2020-09-10,'000832,中证转债,361.5195,365.7015,361.3011,364.26,363.3254,-1.8059,-0.497,,12680308,22794602661.0,,,None
2020-09-09,'000832,中证转债,363.3254,366.7108,362.8176,366.7108,367.4464,-4.121,-1.1215,,16548221,26166988362.0,,,None
2020-09-08,'000832,中证转债,367.4464,368.6801,366.2647,368.4193,368.0055,-0.5591,-0.1519,,15395517,24154665693.0,,,None
2020-09-07,'000832,中证转债,368.0055,373.2033,367.7604,372.8447,372.6025,-4.597,-1.2338,,14846744,24908282264.0,,,None
2020-09-04,'000832,中证转债,372.6025,372.9872,371.3192,372.256,373.6073,-1.0048,-0.2689,,14358404,25980149080.0,,,None
2020-09-03,'000832,中证转债,373.6073,375.4156,373.4003,374.8111,374.7323,-1.125,-0.3002,,16077560,29370495444.0,,,None
2020-09-02,'000832,中证转债,374.7323,374.9873,372.8899,373.9012,373.5267,1.2056,0.3228,,17933538,29917233906.0,,,None
2020-09-01,'000832,中证转债,373.5267,373.5385,372.198,372.376,372.2933,1.2334,0.3313,,17232393,29153003915.0,,,None
2020-08-31,'000832,中证转债,372.2933,374.1209,372.059,372.6301,371.6336,0.6597,0.1775,,14450370,25153932154.0,,,None
2020-08-28,'000832,中证转债,371.6336,371.7279,368.7688,369.3918,369.1881,2.4455,0.6624,,17055149,30409819642.0,,,None
2020-08-27,'000832,中证转债,369.1881,369.5445,367.858,368.8464,368.6584,0.5297,0.1437,,17253313,31366416110.0,,,None
2020-08-26,'000832,中证转债,368.6584,372.8973,368.4114,372.5802,372.3253,-3.6669,-0.9849,,17850707,32738750547.0,,,None
2020-08-25,'000832,中证转债,372.3253,374.0019,372.0149,373.2098,372.8262,-0.5009,-0.1344,,17454457,32616170069.0,,,None
2020-08-24,'000832,中证转债,372.8262,373.3727,371.9858,372.6367,372.0252,0.801,0.2153,,16791403,33751888940.0,,,None
2020-08-21,'000832,中证转债,372.0252,373.9107,371.5305,371.9151,371.1589,0.8663,0.2334,,25944641,55287511674.0,,,None
2020-08-20,'000832,中证转债,371.1589,374.6257,371.0261,374.3953,374.4833,-3.3244,-0.8877,,25088739,48148809272.0,,,None
2020-08-19,'000832,中证转债,374.4833,377.4429,374.4059,377.0211,376.7467,-2.2634,-0.6008,,23537633,42514436713.0,,,None
2020-08-18,'000832,中证转债,376.7467,377.0602,375.6191,375.6498,375.2641,1.4826,0.3951,,22117314,42176192735.0,,,None
