trade_date,ts_code,trade_date,close
2005-01-04,000300.SH,20050104,982.794
2005-01-05,000300.SH,20050105,992.564
2005-01-06,000300.SH,20050106,983.174
2005-01-07,000300.SH,20050107,983.958
2005-01-10,000300.SH,20050110,993.879
2005-01-11,000300.SH,20050111,997.135
2005-01-12,000300.SH,20050112,996.748
2005-01-13,000300.SH,20050113,996.877
2005-01-14,000300.SH,20050114,988.306
2005-01-17,000300.SH,20050117,967.452
2005-01-18,000300.SH,20050118,974.689
2005-01-19,000300.SH,20050119,967.21
2005-01-20,000300.SH,20050120,956.245
2005-01-21,000300.SH,20050121,982.604
2005-01-24,000300.SH,20050124,998.133
2005-01-25,000300.SH,20050125,997.775
2005-01-26,000300.SH,20050126,989.928
2005-01-27,000300.SH,20050127,974.631
2005-01-28,000300.SH,20050128,969.209
2005-01-31,000300.SH,20050131,954.879
2005-02-01,000300.SH,20050201,955.951
2005-02-02,000300.SH,20050202,1006.913
2005-02-03,000300.SH,20050203,993.215
2005-02-04,000300.SH,20050204,1016.858
2005-02-16,000300.SH,20050216,1023.584
2005-02-17,000300.SH,20050217,1020.606
2005-02-18,000300.SH,20050218,1006.055
2005-02-21,000300.SH,20050221,1025.633
2005-02-22,000300.SH,20050222,1046.744
2005-02-23,000300.SH,20050223,1043.944
2005-02-24,000300.SH,20050224,1045.46
2005-02-25,000300.SH,20050225,1046.761
2005-02-28,000300.SH,20050228,1039.989
2005-03-01,000300.SH,20050301,1035.934
2005-03-02,000300.SH,20050302,1021.32
2005-03-03,000300.SH,20050303,1027.71
2005-03-04,000300.SH,20050304,1023.667
2005-03-07,000300.SH,20050307,1029.871
2005-03-08,000300.SH,20050308,1048.987
2005-03-09,000300.SH,20050309,1046.544
2005-03-10,000300.SH,20050310,1022.413
2005-03-11,000300.SH,20050311,1027.429
2005-03-14,000300.SH,20050314,1031.026
2005-03-15,000300.SH,20050315,1013.523
2005-03-16,000300.SH,20050316,1003.065
2005-03-17,000300.SH,20050317,992.863
2005-03-18,000300.SH,20050318,978.665
2005-03-21,000300.SH,20050321,981.893
2005-03-22,000300.SH,20050322,964.024
2005-03-23,000300.SH,20050323,959.01
2005-03-24,000300.SH,20050324,964.801
2005-03-25,000300.SH,20050325,962.955
2005-03-28,000300.SH,20050328,960.696
2005-03-29,000300.SH,20050329,955.19
2005-03-30,000300.SH,20050330,937.034
2005-03-31,000300.SH,20050331,942.203
2005-04-01,000300.SH,20050401,978.145
2005-04-04,000300.SH,20050404,962.168
2005-04-05,000300.SH,20050405,955.598
2005-04-06,000300.SH,20050406,973.668
2005-04-07,000300.SH,20050407,984.733
2005-04-08,000300.SH,20050408,1003.445
2005-04-11,000300.SH,20050411,995.421
2005-04-12,000300.SH,20050412,978.697
2005-04-13,000300.SH,20050413,1000.9
2005-04-14,000300.SH,20050414,986.975
2005-04-15,000300.SH,20050415,974.082
2005-04-18,000300.SH,20050418,963.772
2005-04-19,000300.SH,20050419,965.886
2005-04-20,000300.SH,20050420,950.867
2005-04-21,000300.SH,20050421,943.981
2005-04-22,000300.SH,20050422,939.101
2005-04-25,000300.SH,20050425,930.07
2005-04-26,000300.SH,20050426,937.083
2005-04-27,000300.SH,20050427,926.604
2005-04-28,000300.SH,20050428,942.073
2005-04-29,000300.SH,20050429,932.395
2005-05-09,000300.SH,20050509,909.174
2005-05-10,000300.SH,20050510,913.076
2005-05-11,000300.SH,20050511,901.851
2005-05-12,000300.SH,20050512,885.82
2005-05-13,000300.SH,20050513,887.543
2005-05-16,000300.SH,20050516,875.271
2005-05-17,000300.SH,20050517,881.462
2005-05-18,000300.SH,20050518,883.196
2005-05-19,000300.SH,20050519,884.171
2005-05-20,000300.SH,20050520,882.763
2005-05-23,000300.SH,20050523,863.341
2005-05-24,000300.SH,20050524,868.456
2005-05-25,000300.SH,20050525,868.451
2005-05-26,000300.SH,20050526,857.331
2005-05-27,000300.SH,20050527,849.508
2005-05-30,000300.SH,20050530,855.612
2005-05-31,000300.SH,20050531,855.946
2005-06-01,000300.SH,20050601,837.532
2005-06-02,000300.SH,20050602,818.379
2005-06-03,000300.SH,20050603,818.033
2005-06-06,000300.SH,20050606,838.997
2005-06-07,000300.SH,20050607,837.282
2005-06-08,000300.SH,20050608,905.773
2005-06-09,000300.SH,20050609,912.604
2005-06-10,000300.SH,20050610,894.556
2005-06-13,000300.SH,20050613,892.959
2005-06-14,000300.SH,20050614,883.537
2005-06-15,000300.SH,20050615,866.834
2005-06-16,000300.SH,20050616,879.237
2005-06-17,000300.SH,20050617,880.345
2005-06-20,000300.SH,20050620,906.255
2005-06-21,000300.SH,20050621,896.166
2005-06-22,000300.SH,20050622,900.646
2005-06-23,000300.SH,20050623,893.572
2005-06-24,000300.SH,20050624,898.301
2005-06-27,000300.SH,20050627,916.043
2005-06-28,000300.SH,20050628,903.716
2005-06-29,000300.SH,20050629,898.898
2005-06-30,000300.SH,20050630,878.686
2005-07-01,000300.SH,20050701,859.494
2005-07-04,000300.SH,20050704,855.932
2005-07-05,000300.SH,20050705,849.679
2005-07-06,000300.SH,20050706,842.556
2005-07-07,000300.SH,20050707,844.729
2005-07-08,000300.SH,20050708,829.489
2005-07-11,000300.SH,20050711,824.097
2005-07-12,000300.SH,20050712,851.816
2005-07-13,000300.SH,20050713,846.231
2005-07-14,000300.SH,20050714,849.59
2005-07-15,000300.SH,20050715,841.001
2005-07-18,000300.SH,20050718,832.995
2005-07-19,000300.SH,20050719,835.608
2005-07-20,000300.SH,20050720,842.641
2005-07-21,000300.SH,20050721,843.987
2005-07-22,000300.SH,20050722,859.693
