trade_date,ts_code,trade_date,close
2010-06-01,399006.SZ,20100601,973.233
2010-06-02,399006.SZ,20100602,997.119
2010-06-03,399006.SZ,20100603,998.394
2010-06-04,399006.SZ,20100604,1027.681
2010-06-07,399006.SZ,20100607,1069.468
2010-06-08,399006.SZ,20100608,1067.154
2010-06-09,399006.SZ,20100609,1077.823
2010-06-10,399006.SZ,20100610,1117.478
2010-06-11,399006.SZ,20100611,1122.199
2010-06-17,399006.SZ,20100617,1064.839
2010-06-18,399006.SZ,20100618,1000.277
2010-06-21,399006.SZ,20100621,1040.802
2010-06-22,399006.SZ,20100622,1034.995
2010-06-23,399006.SZ,20100623,1047.337
2010-06-24,399006.SZ,20100624,1050.601
2010-06-25,399006.SZ,20100625,1016.283
2010-06-28,399006.SZ,20100628,987.827
2010-06-29,399006.SZ,20100629,913.309
2010-06-30,399006.SZ,20100630,919.314
2010-07-01,399006.SZ,20100701,882.19
2010-07-02,399006.SZ,20100702,873.12
2010-07-05,399006.SZ,20100705,862.268
2010-07-06,399006.SZ,20100706,893.718
2010-07-07,399006.SZ,20100707,908.549
2010-07-08,399006.SZ,20100708,905.509
2010-07-09,399006.SZ,20100709,932.147
2010-07-12,399006.SZ,20100712,930.173
2010-07-13,399006.SZ,20100713,931.08
2010-07-14,399006.SZ,20100714,922.362
2010-07-15,399006.SZ,20100715,892.557
2010-07-16,399006.SZ,20100716,892.298
2010-07-19,399006.SZ,20100719,908.049
2010-07-20,399006.SZ,20100720,937.017
2010-07-21,399006.SZ,20100721,941.25
2010-07-22,399006.SZ,20100722,950.209
2010-07-23,399006.SZ,20100723,960.588
2010-07-26,399006.SZ,20100726,966.154
2010-07-27,399006.SZ,20100727,957.967
2010-07-28,399006.SZ,20100728,972.534
2010-07-29,399006.SZ,20100729,975.362
2010-07-30,399006.SZ,20100730,968.431
2010-08-02,399006.SZ,20100802,994.228
2010-08-03,399006.SZ,20100803,975.645
2010-08-04,399006.SZ,20100804,978.014
2010-08-05,399006.SZ,20100805,987.351
2010-08-06,399006.SZ,20100806,1011.39
2010-08-09,399006.SZ,20100809,1032.339
2010-08-10,399006.SZ,20100810,993.992
2010-08-11,399006.SZ,20100811,1004.637
2010-08-12,399006.SZ,20100812,991.777
2010-08-13,399006.SZ,20100813,1007.206
2010-08-16,399006.SZ,20100816,1030.217
2010-08-17,399006.SZ,20100817,1033.581
2010-08-18,399006.SZ,20100818,1026.722
2010-08-19,399006.SZ,20100819,1025.526
2010-08-20,399006.SZ,20100820,995.944
2010-08-23,399006.SZ,20100823,995.613
2010-08-24,399006.SZ,20100824,1004.985
2010-08-25,399006.SZ,20100825,976.878
2010-08-26,399006.SZ,20100826,980.63
2010-08-27,399006.SZ,20100827,999.456
2010-08-30,399006.SZ,20100830,1024.928
2010-08-31,399006.SZ,20100831,1025.57
2010-09-01,399006.SZ,20100901,995.586
2010-09-02,399006.SZ,20100902,1014.922
2010-09-03,399006.SZ,20100903,1036.703
2010-09-06,399006.SZ,20100906,1010.764
2010-09-07,399006.SZ,20100907,1022.622
2010-09-08,399006.SZ,20100908,1026.327
2010-09-09,399006.SZ,20100909,1021.832
2010-09-10,399006.SZ,20100910,1034.939
2010-09-13,399006.SZ,20100913,1042.482
2010-09-14,399006.SZ,20100914,1031.219
2010-09-15,399006.SZ,20100915,990.103
2010-09-16,399006.SZ,20100916,972.602
2010-09-17,399006.SZ,20100917,972.229
2010-09-20,399006.SZ,20100920,949.195
2010-09-21,399006.SZ,20100921,934.461
2010-09-27,399006.SZ,20100927,950.671
2010-09-28,399006.SZ,20100928,942.049
2010-09-29,399006.SZ,20100929,926.758
2010-09-30,399006.SZ,20100930,942.539
2010-10-08,399006.SZ,20101008,959.863
2010-10-11,399006.SZ,20101011,947.11
2010-10-12,399006.SZ,20101012,951.79
2010-10-13,399006.SZ,20101013,962.738
2010-10-14,399006.SZ,20101014,958.495
2010-10-15,399006.SZ,20101015,944.254
2010-10-18,399006.SZ,20101018,932.359
2010-10-19,399006.SZ,20101019,995.922
2010-10-20,399006.SZ,20101020,1004.542
2010-10-21,399006.SZ,20101021,991.842
2010-10-22,399006.SZ,20101022,1013.448
2010-10-25,399006.SZ,20101025,1039.054
2010-10-26,399006.SZ,20101026,1036.007
2010-10-27,399006.SZ,20101027,1030.593
2010-10-28,399006.SZ,20101028,1038.622
2010-10-29,399006.SZ,20101029,1064.522
2010-11-01,399006.SZ,20101101,1107.523
2010-11-02,399006.SZ,20101102,1075.151
2010-11-03,399006.SZ,20101103,1040.621
2010-11-04,399006.SZ,20101104,1057.714
2010-11-05,399006.SZ,20101105,1072.219
2010-11-08,399006.SZ,20101108,1107.061
2010-11-09,399006.SZ,20101109,1115.648
2010-11-10,399006.SZ,20101110,1141.582
2010-11-11,399006.SZ,20101111,1132.722
2010-11-12,399006.SZ,20101112,1082.24
2010-11-15,399006.SZ,20101115,1148.539
2010-11-16,399006.SZ,20101116,1126.175
2010-11-17,399006.SZ,20101117,1085.349
2010-11-18,399006.SZ,20101118,1102.845
2010-11-19,399006.SZ,20101119,1153.171
2010-11-22,399006.SZ,20101122,1174.938
2010-11-23,399006.SZ,20101123,1183.502
2010-11-24,399006.SZ,20101124,1208.45
2010-11-25,399006.SZ,20101125,1186.358
2010-11-26,399006.SZ,20101126,1196.019
2010-11-29,399006.SZ,20101129,1220.11
2010-11-30,399006.SZ,20101130,1181.504
2010-12-01,399006.SZ,20101201,1177.175
2010-12-02,399006.SZ,20101202,1177.84
2010-12-03,399006.SZ,20101203,1157.939
2010-12-06,399006.SZ,20101206,1134.383
2010-12-07,399006.SZ,20101207,1161.692
2010-12-08,399006.SZ,20101208,1160.239
2010-12-09,399006.SZ,20101209,1144.531
2010-12-10,399006.SZ,20101210,1166.801
2010-12-13,399006.SZ,20101213,1209.271
2010-12-14,399006.SZ,20101214,1218.52
2010-12-15,399006.SZ,20101215,1211.804
2010-12-16,399006.SZ,20101216,1225.03
2010-12-17,399006.SZ,20101217,1232.982
2010-12-20,399006.SZ,20101220,1212.337
2010-12-21,399006.SZ,20101221,1215.022
2010-12-22,399006.SZ,20101222,1201.647
2010-12-23,399006.SZ,20101223,1176.364
2010-12-24,399006.SZ,20101224,1144.502
2010-12-27,399006.SZ,20101227,1105.296
2010-12-28,399006.SZ,20101228,1091.483
2010-12-29,399006.SZ,20101229,1113.31
2010-12-30,399006.SZ,20101230,1117.214
2010-12-31,399006.SZ,20101231,1137.662
2011-01-04,399006.SZ,20110104,1155.106
2011-01-05,399006.SZ,20110105,1155.349
2011-01-06,399006.SZ,20110106,1134.792
2011-01-07,399006.SZ,20110107,1126.517
2011-01-10,399006.SZ,20110110,1093.765
2011-01-11,399006.SZ,20110111,1078.365
2011-01-12,399006.SZ,20110112,1089.673
2011-01-13,399006.SZ,20110113,1093.856
2011-01-14,399006.SZ,20110114,1067.418
2011-01-17,399006.SZ,20110117,1028.161
2011-01-18,399006.SZ,20110118,1025.716
2011-01-19,399006.SZ,20110119,1048.535
2011-01-20,399006.SZ,20110120,1020.389
2011-01-21,399006.SZ,20110121,1024.505
2011-01-24,399006.SZ,20110124,994.967
2011-01-25,399006.SZ,20110125,978.998
2011-01-26,399006.SZ,20110126,995.744
2011-01-27,399006.SZ,20110127,1013.024
2011-01-28,399006.SZ,20110128,1020.938
2011-01-31,399006.SZ,20110131,1029.12
2011-02-01,399006.SZ,20110201,1032.604
2011-02-09,399006.SZ,20110209,1025.152
2011-02-10,399006.SZ,20110210,1063.946
2011-02-11,399006.SZ,20110211,1071.582
2011-02-14,399006.SZ,20110214,1086.558
2011-02-15,399006.SZ,20110215,1087.725
2011-02-16,399006.SZ,20110216,1107.24
2011-02-17,399006.SZ,20110217,1115.334
2011-02-18,399006.SZ,20110218,1100.461
2011-02-21,399006.SZ,20110221,1117.672
2011-02-22,399006.SZ,20110222,1088.266
2011-02-23,399006.SZ,20110223,1114.052
2011-02-24,399006.SZ,20110224,1101.953
2011-02-25,399006.SZ,20110225,1095.098
2011-02-28,399006.SZ,20110228,1099.776
2011-03-01,399006.SZ,20110301,1098.003
2011-03-02,399006.SZ,20110302,1088.897
2011-03-03,399006.SZ,20110303,1064.307
2011-03-04,399006.SZ,20110304,1071.86
2011-03-07,399006.SZ,20110307,1078.111
2011-03-08,399006.SZ,20110308,1084.821
2011-03-09,399006.SZ,20110309,1087.299
2011-03-10,399006.SZ,20110310,1093.904
2011-03-11,399006.SZ,20110311,1101.76
2011-03-14,399006.SZ,20110314,1107.537
2011-03-15,399006.SZ,20110315,1094.954
2011-03-16,399006.SZ,20110316,1102.215
2011-03-17,399006.SZ,20110317,1078.371
2011-03-18,399006.SZ,20110318,1083.597
