ts_code,trade_date,turnover_rate,pe,pe_ttm,pb
000300.SH,20200402,0.41,11.36,11.14,1.33
000300.SH,20200401,0.43,11.19,10.97,1.31
000300.SH,20200331,0.4,11.23,11.0,1.32
000300.SH,20200330,0.46,11.34,11.03,1.32
000300.SH,20200327,0.45,11.67,11.18,1.34
000300.SH,20200326,0.4,11.64,11.15,1.34
000300.SH,20200325,0.55,11.94,11.26,1.34
000300.SH,20200324,0.52,11.67,11.0,1.31
000300.SH,20200323,0.49,11.39,10.72,1.28
000300.SH,20200320,0.5,11.86,11.07,1.32
000300.SH,20200319,0.65,11.68,10.88,1.3
000300.SH,20200318,0.56,11.86,11.04,1.32
000300.SH,20200317,0.6,12.1,11.25,1.34
000300.SH,20200316,0.67,12.16,11.31,1.35
000300.SH,20200313,0.68,12.6,11.69,1.4
000300.SH,20200312,0.57,12.77,11.84,1.42
000300.SH,20200311,0.58,12.98,12.03,1.44
000300.SH,20200310,0.71,13.12,12.18,1.46
000300.SH,20200309,0.75,12.89,11.95,1.43
000300.SH,20200306,0.62,13.29,12.33,1.48
000300.SH,20200305,0.84,13.49,12.52,1.5
000300.SH,20200304,0.66,13.22,12.26,1.47
000300.SH,20200303,0.79,13.15,12.2,1.46
000300.SH,20200302,0.79,13.09,12.14,1.46
