FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-03-02,1.0059,1.0059,,,1,-0.93,开放申购,开放赎回,,,,
2021-03-01,1.0153,1.0153,,,1,1.66,开放申购,开放赎回,,,,
2021-02-26,0.9987,0.9987,,,1,-1.71,开放申购,开放赎回,,,,
2021-02-25,1.0161,1.0161,,,1,-2.56,开放申购,开放赎回,,,,
2021-02-24,1.0428,1.0428,,,1,3.61,开放申购,开放赎回,,,,
2021-02-23,1.0065,1.0065,,,1,2.25,开放申购,开放赎回,,,,
2021-02-22,0.9844,0.9844,,,1,3.19,开放申购,开放赎回,,,,
2021-02-19,0.9540,0.9540,,,1,2.71,开放申购,开放赎回,,,,
2021-02-18,0.9288,0.9288,,,1,1.78,开放申购,开放赎回,,,,
2021-02-10,0.9126,0.9126,,,1,1.74,开放申购,开放赎回,,,,
2021-02-09,0.8970,0.8970,,,1,-1.49,开放申购,开放赎回,,,,
2021-02-08,0.9106,0.9106,,,1,4.99,开放申购,开放赎回,,,,
2021-02-05,0.8673,0.8673,,,1,0.35,开放申购,开放赎回,,,,
2021-02-04,0.8643,0.8643,,,1,0.59,开放申购,开放赎回,,,,
2021-02-03,0.8592,0.8592,,,1,5.08,开放申购,开放赎回,,,,
2021-02-02,0.8177,0.8177,,,1,1.25,开放申购,开放赎回,,,,
2021-02-01,0.8076,0.8076,,,1,0.99,开放申购,开放赎回,,,,
2021-01-29,0.7997,0.7997,,,1,-3.31,开放申购,开放赎回,,,,
2021-01-28,0.8271,0.8271,,,1,1.08,开放申购,开放赎回,,,,
2021-01-27,0.8183,0.8183,,,1,-0.61,开放申购,开放赎回,,,,
2021-01-26,0.8233,0.8233,,,1,-2.38,开放申购,开放赎回,,,,
2021-01-25,0.8434,0.8434,,,1,-0.19,开放申购,开放赎回,,,,
2021-01-22,0.8450,0.8450,,,1,-0.19,开放申购,开放赎回,,,,
2021-01-21,0.8466,0.8466,,,1,-3.90,开放申购,开放赎回,,,,
2021-01-20,0.8810,0.8810,,,1,-0.61,开放申购,开放赎回,,,,
2021-01-19,0.8864,0.8864,,,1,2.25,开放申购,开放赎回,,,,
2021-01-18,0.8669,0.8669,,,1,0.31,暂停申购,暂停赎回,,,,
2021-01-15,0.8642,0.8642,,,1,-3.73,开放申购,开放赎回,,,,
2021-01-14,0.8977,0.8977,,,1,3.02,开放申购,开放赎回,,,,
2021-01-13,0.8714,0.8714,,,1,-2.39,开放申购,开放赎回,,,,
2021-01-12,0.8927,0.8927,,,1,4.67,开放申购,开放赎回,,,,
2021-01-11,0.8529,0.8529,,,1,1.80,开放申购,开放赎回,,,,
2021-01-08,0.8378,0.8378,,,1,-0.98,开放申购,开放赎回,,,,
2021-01-07,0.8461,0.8461,,,1,2.56,开放申购,开放赎回,,,,
2021-01-06,0.8250,0.8250,,,1,2.55,开放申购,开放赎回,,,,
2021-01-05,0.8045,0.8045,,,1,4.35,开放申购,开放赎回,,,,
2021-01-04,0.7710,0.7710,,,1,0.31,开放申购,开放赎回,,,,
2020-12-31,0.7686,0.7686,,,1,-1.03,开放申购,开放赎回,,,,
2020-12-30,0.7766,0.7766,,,1,2.63,开放申购,开放赎回,,,,
2020-12-29,0.7567,0.7567,,,1,-0.12,开放申购,开放赎回,,,,
2020-12-28,0.7576,0.7576,,,1,-1.25,开放申购,开放赎回,,,,
2020-12-25,0.7672,0.7672,,,1,-0.05,暂停申购,暂停赎回,,,,
2020-12-24,0.7676,0.7676,,,1,-1.32,开放申购,开放赎回,,,,
2020-12-23,0.7779,0.7779,,,1,3.86,限制大额申购,开放赎回,,,,
2020-12-22,0.7490,0.7490,,,1,-1.69,限制大额申购,开放赎回,,,,
2020-12-21,0.7619,0.7619,,,1,-1.28,限制大额申购,开放赎回,,,,
2020-12-18,0.7718,0.7718,,,1,-1.38,限制大额申购,开放赎回,,,,
2020-12-17,0.7826,0.7826,,,1,-0.52,限制大额申购,开放赎回,,,,
2020-12-16,0.7867,0.7867,,,1,-1.14,限制大额申购,开放赎回,,,,
2020-12-15,0.7958,0.7958,,,1,2.12,限制大额申购,开放赎回,,,,
2020-12-14,0.7793,0.7793,,,1,-3.19,限制大额申购,开放赎回,,,,
2020-12-11,0.8050,0.8050,,,1,-1.77,限制大额申购,开放赎回,,,,
2020-12-10,0.8195,0.8195,,,1,4.02,限制大额申购,开放赎回,,,,
2020-12-09,0.7878,0.7878,,,1,0.69,限制大额申购,开放赎回,,,,
2020-12-08,0.7824,0.7824,,,1,0.71,限制大额申购,开放赎回,,,,
2020-12-07,0.7769,0.7769,,,1,-2.92,限制大额申购,开放赎回,,,,
2020-12-04,0.8003,0.8003,,,1,6.62,限制大额申购,开放赎回,,,,
2020-12-03,0.7506,0.7506,,,1,1.42,限制大额申购,开放赎回,,,,
2020-12-02,0.7401,0.7401,,,1,2.17,限制大额申购,开放赎回,,,,
2020-12-01,0.7244,0.7244,,,1,0.21,限制大额申购,开放赎回,,,,
2020-11-30,0.7229,0.7229,,,1,-5.98,限制大额申购,开放赎回,,,,
2020-11-27,0.7689,0.7689,,,1,-1.40,限制大额申购,开放赎回,,,,
2020-11-26,0.7798,0.7798,,,1,0.04,暂停申购,暂停赎回,,,,
2020-11-25,0.7795,0.7795,,,1,-1.73,限制大额申购,开放赎回,,,,
2020-11-24,0.7932,0.7932,,,1,4.48,限制大额申购,开放赎回,,,,
2020-11-23,0.7592,0.7592,,,1,7.31,限制大额申购,开放赎回,,,,
2020-11-20,0.7075,0.7075,,,1,-0.17,限制大额申购,开放赎回,,,,
2020-11-19,0.7087,0.7087,,,1,1.52,限制大额申购,开放赎回,,,,
2020-11-18,0.6981,0.6981,,,1,-2.28,限制大额申购,开放赎回,,,,
2020-11-17,0.7144,0.7144,,,1,1.10,限制大额申购,开放赎回,,,,
2020-11-16,0.7066,0.7066,,,1,5.43,限制大额申购,开放赎回,,,,
2020-11-13,0.6702,0.6702,,,1,5.15,限制大额申购,开放赎回,,,,
2020-11-12,0.6374,0.6374,,,1,-3.93,暂停申购,开放赎回,,,,
2020-11-11,0.6635,0.6635,,,1,0.06,暂停申购,开放赎回,,,,
2020-11-10,0.6631,0.6631,,,1,2.98,暂停申购,开放赎回,,,,
2020-11-09,0.6439,0.6439,,,1,14.84,暂停申购,开放赎回,,,,
2020-11-06,0.5607,0.5607,,,1,-3.24,暂停申购,开放赎回,,,,
2020-11-05,0.5795,0.5795,,,1,0.22,暂停申购,开放赎回,,,,
2020-11-04,0.5782,0.5782,,,1,0.35,暂停申购,开放赎回,,,,
2020-11-03,0.5762,0.5762,,,1,-1.00,暂停申购,开放赎回,,,,
2020-11-02,0.5820,0.5820,,,1,3.10,暂停申购,开放赎回,,,,
2020-10-30,0.5645,0.5645,,,1,0.04,暂停申购,开放赎回,,,,
2020-10-29,0.5643,0.5643,,,1,2.66,暂停申购,开放赎回,,,,
2020-10-28,0.5497,0.5497,,,1,-4.43,暂停申购,开放赎回,,,,
2020-10-27,0.5752,0.5752,,,1,-0.57,暂停申购,开放赎回,,,,
2020-10-26,0.5785,0.5785,,,1,-4.98,暂停申购,开放赎回,,,,
2020-10-23,0.6088,0.6088,,,1,0.98,暂停申购,开放赎回,,,,
2020-10-22,0.6029,0.6029,,,1,3.68,暂停申购,开放赎回,,,,
2020-10-21,0.5815,0.5815,,,1,-2.89,暂停申购,开放赎回,,,,
2020-10-20,0.5988,0.5988,,,1,1.27,暂停申购,开放赎回,,,,
2020-10-19,0.5913,0.5913,,,1,-3.00,暂停申购,开放赎回,,,,
2020-10-16,0.6096,0.6096,,,1,-3.01,暂停申购,开放赎回,,,,
2020-10-15,0.6285,0.6285,,,1,1.72,暂停申购,开放赎回,,,,
2020-10-14,0.6179,0.6179,,,1,0.77,暂停申购,开放赎回,,,,
2020-10-13,0.6132,0.6132,,,1,-1.60,暂停申购,开放赎回,,,,
2020-10-12,0.6232,0.6232,,,1,-0.21,暂停申购,开放赎回,,,,
2020-10-09,0.6245,0.6245,,,1,3.98,暂停申购,开放赎回,,,,
2020-09-30,0.6006,0.6006,,,1,-0.81,暂停申购,开放赎回,,,,
2020-09-29,0.6055,0.6055,,,1,-2.78,暂停申购,开放赎回,,,,
2020-09-28,0.6228,0.6228,,,1,2.28,暂停申购,开放赎回,,,,
2020-09-25,0.6089,0.6089,,,1,-0.03,暂停申购,开放赎回,,,,
2020-09-24,0.6091,0.6091,,,1,0.66,暂停申购,开放赎回,,,,
2020-09-23,0.6051,0.6051,,,1,-4.30,暂停申购,开放赎回,,,,
2020-09-22,0.6323,0.6323,,,1,-0.02,暂停申购,开放赎回,,,,
2020-09-21,0.6324,0.6324,,,1,-3.48,暂停申购,开放赎回,,,,
