trade_date,close,open,北向资金,mid,upper,lower,ret,week,position,signal,capital_ret,策略净值,指数净值
2019-01-25,3184.4696,3165.1814,3493.24,1405.99472,5449.326632440296,-2637.3371924402963,0.008132217557167642,2019-01-21/2019-01-27,0.0,,0.0,1.0,1.0081322175571676
2019-01-28,3183.7777,3203.1189,4940.45,1407.67824,5454.134701250065,-2638.7782212500642,-0.00021727323130982246,2019-01-28/2019-02-03,0.0,,-0.0,1.0,1.0079131774126715
2019-01-29,3193.9698,3177.261,2375.98,1406.7581599999999,5452.657895099386,-2639.1415750993865,0.0032012599372122086,2019-01-28/2019-02-03,0.0,,0.0,1.0,1.011139769487711
2019-01-30,3168.4829,3181.6551,994.16,1403.0328800000002,5448.818369607949,-2642.7526096079478,-0.007979693483639028,2019-01-28/2019-02-03,0.0,,-0.0,1.0,1.0030711840580815
2019-01-31,3201.6331,3182.6987,8663.91,1425.38412,5526.401882714874,-2675.6336427148744,0.010462483480658813,2019-01-28/2019-02-03,0.0,1.0,0.0,1.0,1.013565799751214
2019-02-01,3247.3971,3225.7335,5546.59,1440.66176,5560.184709431962,-2678.861189431962,0.014293955169316641,2019-01-28/2019-02-03,1.0,,0.006648709200558667,1.0066487092005587,1.0280536638540103
2019-02-11,3306.4725,3239.8079,4569.04,1457.99576,5586.567146806892,-2670.5756268068926,0.018191615678907702,2019-02-11/2019-02-17,1.0,,0.018191615678907702,1.024961275642004,1.0467556210041353
2019-02-12,3330.3353,3306.3523,5326.22,1470.1606399999998,5614.288595960405,-2673.9673159604044,0.007216996360925432,2019-02-11/2019-02-17,1.0,,0.007216996360925432,1.0323584174384017,1.0543100525117004
2019-02-13,3397.0276,3337.7794,8601.33,1511.12676,5699.4566005417355,-2677.2030805417353,0.02002570131602055,2019-02-11/2019-02-17,1.0,,0.02002570131602055,1.0530321187571028,1.0754233507177777
2019-02-14,3402.1403,3392.8547,5680.98,1523.70456,5729.57735353038,-2682.1682335303794,0.0015050510628762392,2019-02-11/2019-02-17,1.0,,0.0015050510628762392,1.054616985866681,1.0770419177748174
2019-02-15,3338.7047,3391.242,2193.83,1535.0565599999998,5736.326093546329,-2666.2129735463286,-0.018645791885772645,2019-02-11/2019-02-17,1.0,,-0.018645791885772645,1.03495281702901,1.0569596183237346
2019-02-18,3445.7448,3366.423,4788.07,1546.23388,5758.608946507391,-2666.1411865073915,0.032060367603040874,2019-02-18/2019-02-24,1.0,,0.032060367603040874,1.068133784794763,1.0908461322287633
2019-02-19,3439.6078,3454.7216,1618.02,1547.83796,5760.101601005257,-2664.4256810052575,-0.001781037295623178,2019-02-18/2019-02-24,1.0,,-0.001781037295623178,1.0662313986873284,1.0889032945834776
2019-02-20,3451.9273,3449.9321,4758.17,1557.33392,5779.865078358533,-2665.1972383585326,0.003581658350699124,2019-02-18/2019-02-24,1.0,,0.003581658350699124,1.0700502752802146,1.0928033741616263
2019-02-21,3442.7056,3450.1411,2318.07,1555.1745600000002,5776.513639020717,-2666.1645190207164,-0.0026714641412060036,2019-02-18/2019-02-24,1.0,,-0.0026714641412060036,1.0671916743405159,1.0898839891341645
2019-02-22,3520.1182,3439.3781,5998.99,1577.45072,5818.391996886255,-2663.490556886255,0.022485977308080107,2019-02-18/2019-02-24,1.0,,0.022485977308080107,1.0911885221131088,1.1143910957822751
2019-02-25,3729.4831,3575.8528,-716.05,1564.68912,5810.3312994630305,-2680.9530594630305,0.059476667573264974,2019-02-25/2019-03-03,1.0,,0.059476667573264974,1.1560887791025924,1.180671364532724
2019-02-26,3684.6935,3734.7059,1992.78,1559.93624,5802.986545004357,-2683.114065004357,-0.012009599936248505,2019-02-25/2019-03-03,1.0,,-0.012009599936248505,1.1422046153747842,1.1664919737885013
2019-02-27,3678.3921,3682.8116,4875.55,1582.2912000000001,5831.407962465939,-2666.825562465939,-0.001710155810788594,2019-02-25/2019-03-03,1.0,,-0.001710155810788594,1.1402512675146914,1.1644970907612886
2019-02-28,3669.3703,3675.2642,2839.93,1591.5238,5841.126218223956,-2658.0786182239563,-0.0024526477207256203,2019-02-25/2019-03-03,1.0,,-0.0024526477207256203,1.137454632842367,1.1616409896258413
2019-03-01,3749.7143,3699.2157,3020.42,1603.015,5852.536482433982,-2646.5064824339815,0.02189585499179514,2019-02-25/2019-03-03,1.0,,0.02189585499179514,1.162360174542829,1.187076112287214
2019-03-04,3794.104,3783.0367,3539.56,1615.45704,5867.45856526623,-2636.5444852662295,0.011838155242920756,2019-03-04/2019-03-10,1.0,,0.011838155242920756,1.1761203747372553,1.2011289035896329
2019-03-05,3816.0132,3785.3762,4157.46,1632.0228800000002,5888.0973350830845,-2624.0515750830837,0.005774538599890855,2019-03-04/2019-03-10,1.0,,0.005774538599890855,1.1829119272392936,1.2080648688068558
