,date,value,rate
0,2020-12-22,7142亿,2.82%
1,2020-12-21,7140亿,2.77%
2,2020-12-18,7125亿,2.82%
3,2020-12-17,7117亿,2.80%
4,2020-12-16,7103亿,2.83%
5,2020-12-15,7106亿,2.82%
6,2020-12-14,7110亿,2.84%
7,2020-12-11,7103亿,2.86%
8,2020-12-10,7130亿,2.84%
9,2020-12-09,7146亿,2.84%
10,2020-12-08,7161亿,2.80%
11,2020-12-07,7172亿,2.80%
12,2020-12-04,7148亿,2.78%
13,2020-12-03,7162亿,2.80%
14,2020-12-02,7165亿,2.80%
15,2020-12-01,7133亿,2.79%
16,2020-11-30,7101亿,2.82%
17,2020-11-27,7090亿,2.81%
18,2020-11-26,7124亿,2.84%
19,2020-11-25,7143亿,2.84%
20,2020-11-24,7136亿,2.79%
21,2020-11-23,7115亿,2.77%
22,2020-11-20,7074亿,2.78%
23,2020-11-19,7085亿,2.80%
24,2020-11-18,7087亿,2.81%
25,2020-11-17,7077亿,2.80%
26,2020-11-16,7063亿,2.78%
27,2020-11-13,7031亿,2.79%
28,2020-11-12,7045亿,2.78%
29,2020-11-11,7048亿,2.80%
30,2020-11-10,7054亿,2.75%
31,2020-11-09,7028亿,2.71%
32,2020-11-06,6982亿,2.76%
33,2020-11-05,6972亿,2.73%
34,2020-11-04,6934亿,2.77%
35,2020-11-03,6911亿,2.77%
36,2020-11-02,6896亿,2.80%
37,2020-10-30,6883亿,2.83%
38,2020-10-29,6922亿,2.78%
39,2020-10-28,6907亿,2.79%
40,2020-10-27,6888亿,2.80%
41,2020-10-26,6890亿,2.81%
42,2020-10-23,6907亿,2.83%
43,2020-10-22,6961亿,2.80%
44,2020-10-21,6949亿,2.79%
45,2020-10-20,6962亿,2.77%
46,2020-10-19,6940亿,2.79%
47,2020-10-16,6937亿,2.78%
48,2020-10-15,6965亿,2.78%
49,2020-10-14,6949亿,2.76%
50,2020-10-13,6906亿,2.72%
51,2020-10-12,6850亿,2.71%
52,2020-10-09,6769亿,2.77%
53,2020-09-17,6855亿,2.87%
54,2020-09-16,6848亿,2.86%
55,2020-09-15,6850亿,2.83%
56,2020-09-14,6841亿,3.24%
57,2020-09-11,6832亿,4.80%
58,2020-09-10,6853亿,3.38%
59,2020-09-09,6917亿,3.33%
60,2020-09-08,6936亿,3.05%
61,2020-09-07,6942亿,3.64%
62,2020-09-04,6944亿,3.20%
63,2020-08-31,6881亿,3.02%
64,2020-08-28,6830亿,6.26%
65,2020-08-27,6830亿,3.22%
66,2020-08-24,6839亿,4.03%
67,2020-08-21,6787亿,4.02%
68,2020-08-18,6801亿,2.94%
69,2020-08-17,6779亿,3.24%
70,2020-08-14,6707亿,3.38%
71,2020-08-13,6741亿,3.58%
72,2020-08-12,6725亿,2.97%
73,2020-08-11,6732亿,3.11%
74,2020-08-07,6741亿,4.08%
75,2020-08-06,6781亿,4.73%
76,2020-08-05,6761亿,2.97%
77,2020-08-04,6723亿,4.46%
78,2020-08-03,6690亿,5.44%
79,2020-07-31,6569亿,4.39%
80,2020-07-29,6488亿,3.64%
81,2020-07-28,6421亿,2.91%
82,2020-07-27,6417亿,3.49%
83,2020-07-24,6405亿,7.72%
84,2020-07-23,6500亿,3.03%
85,2020-07-21,6435亿,3.51%
86,2020-07-17,6380亿,6.07%
87,2020-07-16,6404亿,4.19%
88,2020-07-15,6434亿,3.18%
89,2020-07-13,6379亿,6.13%
90,2020-07-10,6226亿,5.36%
91,2020-07-09,6149亿,3.72%
92,2020-07-07,5895亿,3.55%
93,2020-07-06,5760亿,4.13%
