»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-26,'000989,æ≈ ÷• Ã√,8.13,8.18,8.0,8.04,8.08,0.05,0.6188,0.6716,5838234,47384951.42,7067849938.68,7067849938.68
2020-03-25,'000989,æ≈ ÷• Ã√,8.08,8.11,7.91,8.01,7.85,0.23,2.9299,0.6827,5934695,47624123.69,7024382226.88,7024382226.88
2020-03-24,'000989,æ≈ ÷• Ã√,7.85,7.91,7.71,7.9,7.78,0.07,0.8997,0.408,3547399,27739368.06,6824430752.6,6824430752.6
2020-03-23,'000989,æ≈ ÷• Ã√,7.78,7.91,7.75,7.76,7.91,-0.13,-1.6435,0.4553,3957799,30941587.22,6763575956.08,6763575956.08
2020-03-20,'000989,æ≈ ÷• Ã√,7.91,7.91,7.78,7.82,7.77,0.14,1.8018,0.4773,4149339,32561682.74,6876592006.76,6876592006.76
2020-03-19,'000989,æ≈ ÷• Ã√,7.77,7.92,7.6,7.89,7.87,-0.1,-1.2706,0.7954,6914439,53538839.24,6754882413.72,6754882413.72
2020-03-18,'000989,æ≈ ÷• Ã√,7.87,8.18,7.84,8.1,8.06,-0.19,-2.3573,0.8327,7238807,58070763.65,6841817837.32,6841817837.32
2020-03-17,'000989,æ≈ ÷• Ã√,8.06,8.25,7.76,8.13,8.15,-0.09,-1.1043,0.9388,8161334,65190978.09,7006995142.16,7006995142.16
2020-03-16,'000989,æ≈ ÷• Ã√,8.15,8.54,8.1,8.29,8.17,-0.02,-0.2448,1.0501,9128731,75969795.52,7085237023.4,7085237023.4
2020-03-13,'000989,æ≈ ÷• Ã√,8.17,8.27,7.92,8.0,8.49,-0.32,-3.7691,0.9646,8385440,68140444.82,7102624108.12,7102624108.12
2020-03-12,'000989,æ≈ ÷• Ã√,8.49,8.74,8.46,8.74,8.85,-0.36,-4.0678,1.2252,10651647,91590397.86,7380817463.64,7380817463.64
2020-03-11,'000989,æ≈ ÷• Ã√,8.85,9.16,8.83,9.15,9.08,-0.23,-2.533,2.0099,17472839,156160528.46,7693784988.6,7693784988.6
2020-03-10,'000989,æ≈ ÷• Ã√,9.08,9.08,8.67,8.97,9.07,0.01,0.1103,1.447,12579709,111474575.13,7893736462.88,7893736462.88
2020-03-09,'000989,æ≈ ÷• Ã√,9.07,9.16,8.75,8.8,8.86,0.21,2.3702,2.049,17813004,160741378.99,7885042920.52,7885042920.52
2020-03-06,'000989,æ≈ ÷• Ã√,8.86,8.95,8.78,8.86,8.86,0.0,0.0,0.7813,6792246,60349301.32,7702478530.96,7702478530.96
2020-03-05,'000989,æ≈ ÷• Ã√,8.86,8.89,8.77,8.78,8.75,0.11,1.2571,0.749,6511773,57446877.55,7702478530.96,7702478530.96
2020-03-04,'000989,æ≈ ÷• Ã√,8.75,8.76,8.63,8.76,8.79,-0.04,-0.4551,0.6267,5448077,47407643.53,7606849565.0,7606849565.0
2020-03-03,'000989,æ≈ ÷• Ã√,8.79,8.88,8.71,8.78,8.75,0.04,0.4571,0.7846,6821030,60062321.24,7641623734.44,7641623734.44
2020-03-02,'000989,æ≈ ÷• Ã√,8.75,8.79,8.58,8.58,8.58,0.17,1.9814,0.8526,7412173,64600008.15,7606849565.0,7606849565.0
2020-02-28,'000989,æ≈ ÷• Ã√,8.58,8.99,8.54,8.91,9.0,-0.42,-4.6667,1.1214,9749282,85387848.47,7459059344.88,7459059344.88
2020-02-27,'000989,æ≈ ÷• Ã√,9.0,9.12,8.96,9.03,9.02,-0.02,-0.2217,0.5693,4949434,44649986.1,7824188124.0,7824188124.0
2020-02-26,'000989,æ≈ ÷• Ã√,9.02,9.24,9.0,9.19,9.29,-0.27,-2.9064,1.1653,10130742,92359547.89,7841575208.72,7841575208.72
2020-02-25,'000989,æ≈ ÷• Ã√,9.29,9.31,8.84,8.92,9.04,0.25,2.7655,2.2061,19178900,174269802.73,8076300852.44,8076300852.44
2020-02-24,'000989,æ≈ ÷• Ã√,9.04,9.18,8.95,8.97,8.97,0.07,0.7804,1.3815,12009872,108818057.66,7858962293.44,7858962293.44
2020-02-21,'000989,æ≈ ÷• Ã√,8.97,9.07,8.95,9.07,9.09,-0.12,-1.3201,1.2439,10814109,97374669.11,7798107496.92,7798107496.92
2020-02-20,'000989,æ≈ ÷• Ã√,9.09,9.15,8.8,9.12,9.02,0.07,0.7761,1.0783,9373849,84460151.54,7902430005.24,7902430005.24
