日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-26,'002527,新时达,5.44,5.63,5.17,5.63,5.64,-0.2,-3.5461,1.4337,8891673,48617818.04,3373840949.44,3373840949.44
2020-03-25,'002527,新时达,5.64,5.73,5.61,5.69,5.58,0.06,1.0753,1.1081,6872561,38871733.3,3497879219.64,3497879219.64
2020-03-24,'002527,新时达,5.58,5.64,5.41,5.51,5.42,0.16,2.952,1.0759,6672458,37007169.22,3460667738.58,3460667738.58
2020-03-23,'002527,新时达,5.42,5.6,5.41,5.52,5.67,-0.25,-4.4092,0.9447,5858900,32263901.0,3361437122.42,3361437122.42
2020-03-20,'002527,新时达,5.67,5.73,5.55,5.68,5.61,0.06,1.0695,1.0228,6343446,35785138.39,3516484960.17,3516484960.17
2020-03-19,'002527,新时达,5.61,5.65,5.42,5.53,5.56,0.05,0.8993,1.1748,7285823,40408511.11,3479273479.11,3479273479.11
2020-03-18,'002527,新时达,5.56,5.75,5.55,5.63,5.57,-0.01,-0.1795,1.3311,8255584,46741919.46,3448263911.56,3448263911.56
2020-03-17,'002527,新时达,5.57,5.68,5.3,5.63,5.56,0.01,0.1799,1.3824,8573634,47204761.53,3454465825.07,3454465825.07
2020-03-16,'002527,新时达,5.56,5.91,5.52,5.79,5.71,-0.15,-2.627,2.1127,13102940,74896999.61,3448263911.56,3448263911.56
2020-03-13,'002527,新时达,5.71,5.88,5.47,5.47,5.97,-0.26,-4.3551,2.4921,15455622,88335416.0,3541292614.21,3541292614.21
2020-03-12,'002527,新时达,5.97,6.11,5.92,6.09,6.08,-0.11,-1.8092,1.5738,9760788,58395630.17,3702542365.47,3702542365.47
2020-03-11,'002527,新时达,6.08,6.25,6.08,6.25,6.23,-0.15,-2.4077,2.1498,13332650,82135610.5,3770763414.08,3770763414.08
2020-03-10,'002527,新时达,6.23,6.3,5.91,5.92,6.08,0.15,2.4671,2.58,16000780,97325811.88,3863792116.73,3863792116.73
2020-03-09,'002527,新时达,6.08,6.39,6.04,6.27,6.41,-0.33,-5.1482,3.0016,18615963,115622164.81,3770763414.08,3770763414.08
2020-03-06,'002527,新时达,6.41,6.65,6.1,6.11,6.24,0.17,2.7244,4.1482,25727066,164116973.58,3975426559.91,3975426559.91
2020-03-05,'002527,新时达,6.24,6.34,6.16,6.27,6.24,0.0,0.0,2.3027,14281434,88865700.22,3869994030.24,3869994030.24
2020-03-04,'002527,新时达,6.24,6.33,5.97,6.06,6.12,0.12,1.9608,2.2381,13880572,85668084.8,3869994030.24,3869994030.24
2020-03-03,'002527,新时达,6.12,6.44,6.1,6.27,6.18,-0.06,-0.9709,3.5167,21810473,136366104.29,3795571068.12,3795571068.12
2020-03-02,'002527,新时达,6.18,6.25,6.04,6.04,5.97,0.21,3.5176,2.7113,16815032,103538503.22,3832782549.18,3832782549.18
2020-02-28,'002527,新时达,5.97,6.24,5.93,6.05,6.34,-0.37,-5.836,3.4746,21549156,130563100.07,3702542365.47,3702542365.47
2020-02-27,'002527,新时达,6.34,6.7,6.17,6.41,6.53,-0.19,-2.9096,4.5894,28462931,180936092.56,3932013165.34,3932013165.34
2020-02-26,'002527,新时达,6.53,7.23,6.5,6.76,6.84,-0.31,-4.5322,8.4074,52141882,354717160.96,4049849522.03,4049849522.03
2020-02-25,'002527,新时达,6.84,6.84,5.93,6.08,6.22,0.62,9.9678,8.7914,54523602,358683470.82,4242108840.84,4242108840.84
2020-02-24,'002527,新时达,6.22,6.46,6.08,6.12,6.02,0.2,3.3223,6.0868,37749671,236453076.92,3857590203.22,3857590203.22
2020-02-21,'002527,新时达,6.02,6.21,6.01,6.08,6.23,-0.21,-3.3708,6.2089,38506895,234119683.34,3733551933.02,3733551933.02
2020-02-20,'002527,新时达,6.23,6.46,6.02,6.03,6.31,-0.08,-1.2678,9.572,59364552,370970722.0,3863792116.73,3863792116.73
2020-02-19,'002527,新时达,6.31,6.31,5.91,5.99,5.74,0.57,9.9303,11.9742,74262879,459795957.09,3913407424.81,3913407424.81
2020-02-18,'002527,新时达,5.74,5.74,5.28,5.29,5.22,0.52,9.9617,2.2016,13654398,76625645.03,3559898354.74,3559898354.74
2020-02-17,'002527,新时达,5.22,5.27,5.15,5.27,5.15,0.07,1.3592,1.6966,10521951,54560498.68,3237398852.22,3237398852.22
2020-02-14,'002527,新时达,5.15,5.22,5.03,5.17,5.22,-0.07,-1.341,1.7476,10838716,55384680.92,3193985457.65,3193985457.65
2020-02-13,'002527,新时达,5.22,5.32,5.13,5.21,5.21,0.01,0.1919,1.6318,10120212,52848335.22,3237398852.22,3237398852.22
2020-02-12,'002527,新时达,5.21,5.25,5.16,5.23,5.22,-0.01,-0.1916,1.5973,9906618,51626042.78,3231196938.71,3231196938.71
2020-02-11,'002527,新时达,5.22,5.27,5.13,5.24,5.26,-0.04,-0.7605,1.3594,8431174,43705810.09,3237398852.22,3237398852.22
2020-02-10,'002527,新时达,5.26,5.36,5.19,5.36,5.32,-0.06,-1.1278,1.5724,9751981,51383975.56,3262206506.26,3262206506.26
