ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-03-26,'300637,Ñï·«ÐÂ²Ä,11.23,11.43,11.2,11.43,11.51,-0.28,-2.4327,2.2071,2782020,31440630.3,2636357046.0,1415556323.6
2020-03-25,'300637,Ñï·«ÐÂ²Ä,11.51,11.67,11.45,11.58,11.36,0.15,1.3204,2.2359,2818420,32545293.7,2702089902.0,1450850693.2
2020-03-24,'300637,Ñï·«ÐÂ²Ä,11.36,11.6,11.03,11.45,11.21,0.15,1.3381,2.1783,2745718,31070806.34,2666875872.0,1431942995.2
2020-03-23,'300637,Ñï·«ÐÂ²Ä,11.21,11.66,11.18,11.55,11.85,-0.64,-5.4008,2.9932,3772917,43245851.61,2631661842.0,1413035297.2
2020-03-20,'300637,Ñï·«ÐÂ²Ä,11.85,12.18,11.69,11.8,11.74,0.11,0.937,4.7795,6024601,72004287.68,2781908370.0,1493708142.0
2020-03-19,'300637,Ñï·«ÐÂ²Ä,11.74,11.74,11.06,11.09,11.2,0.54,4.8214,4.1351,5212307,59574218.64,2756084748.0,1479842496.8
2020-03-18,'300637,Ñï·«ÐÂ²Ä,11.2,11.7,11.2,11.48,11.33,-0.13,-1.1474,3.5457,4469404,51335332.18,2629314240.0,1411774784.0
2020-03-17,'300637,Ñï·«ÐÂ²Ä,11.33,11.58,10.81,11.49,11.2,0.13,1.1607,3.4979,4409160,49411587.4,2659833066.0,1428161455.6
2020-03-16,'300637,Ñï·«ÐÂ²Ä,11.2,12.07,11.2,11.72,11.63,-0.43,-3.6973,4.6512,5862959,68684090.93,2629314240.0,1411774784.0
2020-03-13,'300637,Ñï·«ÐÂ²Ä,11.63,11.98,10.94,11.3,12.08,-0.45,-3.7252,5.5801,7033830,81664189.1,2730261126.0,1465976851.6
