ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2020-03-26,'601007,ฝ๐ม๊ทนต๊,8.8,9.15,8.75,8.84,8.96,-0.16,-1.7857,2.1993,6597843,58883337.0,2640000000.0,2640000000.0
2020-03-25,'601007,ฝ๐ม๊ทนต๊,8.96,8.96,8.47,8.65,8.55,0.41,4.7953,2.5164,7549207,65829246.0,2688000000.0,2688000000.0
2020-03-24,'601007,ฝ๐ม๊ทนต๊,8.55,8.66,8.24,8.65,8.5,0.05,0.5882,1.8343,5502963,46760998.0,2565000000.0,2565000000.0
2020-03-23,'601007,ฝ๐ม๊ทนต๊,8.5,8.86,8.48,8.75,9.14,-0.64,-7.0022,2.3322,6996485,60726934.0,2550000000.0,2550000000.0
2020-03-20,'601007,ฝ๐ม๊ทนต๊,9.14,9.36,8.39,8.6,8.57,0.57,6.6511,3.2989,9896847,87107068.0,2742000000.0,2742000000.0
2020-03-19,'601007,ฝ๐ม๊ทนต๊,8.57,8.85,8.21,8.21,8.14,0.43,5.2826,2.0847,6253986,53078754.0,2571000000.0,2571000000.0
2020-03-18,'601007,ฝ๐ม๊ทนต๊,8.14,8.49,8.05,8.11,8.03,0.11,1.3699,1.1071,3321320,27529118.0,2442000000.0,2442000000.0
2020-03-17,'601007,ฝ๐ม๊ทนต๊,8.03,8.25,7.88,8.1,8.18,-0.15,-1.8337,1.0582,3174536,25446627.0,2409000000.0,2409000000.0
2020-03-16,'601007,ฝ๐ม๊ทนต๊,8.18,8.54,8.14,8.3,8.15,0.03,0.3681,1.475,4425124,36944395.0,2454000000.0,2454000000.0
2020-03-13,'601007,ฝ๐ม๊ทนต๊,8.15,8.25,7.81,7.94,8.29,-0.14,-1.6888,1.0257,3077130,24844620.0,2445000000.0,2445000000.0
2020-03-12,'601007,ฝ๐ม๊ทนต๊,8.29,8.57,8.29,8.43,8.55,-0.26,-3.0409,0.9833,2949974,24781665.0,2487000000.0,2487000000.0
2020-03-11,'601007,ฝ๐ม๊ทนต๊,8.55,8.65,8.35,8.4,8.41,0.14,1.6647,1.2556,3766746,32180236.0,2565000000.0,2565000000.0
2020-03-10,'601007,ฝ๐ม๊ทนต๊,8.41,8.42,8.08,8.18,8.26,0.15,1.816,0.7692,2307706,19133655.0,2523000000.0,2523000000.0
2020-03-09,'601007,ฝ๐ม๊ทนต๊,8.26,8.5,8.26,8.41,8.5,-0.24,-2.8235,0.9936,2980752,24965818.0,2478000000.0,2478000000.0
2020-03-06,'601007,ฝ๐ม๊ทนต๊,8.5,8.54,8.3,8.37,8.43,0.07,0.8304,0.8692,2607622,21997097.0,2550000000.0,2550000000.0
2020-03-05,'601007,ฝ๐ม๊ทนต๊,8.43,8.47,8.3,8.35,8.32,0.11,1.3221,0.7808,2342493,19655745.0,2529000000.0,2529000000.0
2020-03-04,'601007,ฝ๐ม๊ทนต๊,8.32,8.33,8.15,8.21,8.24,0.08,0.9709,0.4267,1280037,10564304.0,2496000000.0,2496000000.0
2020-03-03,'601007,ฝ๐ม๊ทนต๊,8.24,8.35,8.21,8.32,8.28,-0.04,-0.4831,0.7143,2142760,17720552.0,2472000000.0,2472000000.0
2020-03-02,'601007,ฝ๐ม๊ทนต๊,8.28,8.41,8.06,8.07,8.07,0.21,2.6022,0.6369,1910780,15805697.0,2484000000.0,2484000000.0
2020-02-28,'601007,ฝ๐ม๊ทนต๊,8.07,8.38,7.89,8.13,8.47,-0.4,-4.7226,1.3331,3999310,32409637.0,2421000000.0,2421000000.0
2020-02-27,'601007,ฝ๐ม๊ทนต๊,8.47,8.88,8.3,8.3,8.24,0.23,2.7913,1.7592,5277652,45361505.0,2541000000.0,2541000000.0
2020-02-26,'601007,ฝ๐ม๊ทนต๊,8.24,8.32,8.13,8.19,8.28,-0.04,-0.4831,0.7726,2317785,19106798.0,2472000000.0,2472000000.0
