�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-03-27,'601865,腦應杻,10.64,10.92,10.5,10.76,10.61,0.03,0.2828,1.8739,6389709,68395190.0,20748000000.0,3628027200.0
2020-03-26,'601865,腦應杻,10.61,10.87,10.58,10.85,10.85,-0.24,-2.212,1.8488,6304188,67589640.0,20689500000.0,3617797800.0
2020-03-25,'601865,腦應杻,10.85,10.95,10.71,10.73,10.56,0.29,2.7462,2.5286,8621987,93546742.0,21157500000.0,3699633000.0
2020-03-24,'601865,腦應杻,10.56,10.87,10.26,10.32,10.29,0.27,2.6239,3.506,11954853,126248031.0,20592000000.0,3600748800.0
2020-03-23,'601865,腦應杻,10.29,11.0,10.2,10.85,11.29,-1.0,-8.8574,4.0671,13867840,145917542.0,20065500000.0,3508684200.0
2020-03-20,'601865,腦應杻,11.29,11.48,10.99,11.35,11.29,0.0,0.0,2.1726,7408002,82942713.0,22015500000.0,3849664200.0
2020-03-19,'601865,腦應杻,11.29,11.38,10.95,11.15,11.15,0.14,1.2556,2.7401,9343187,104581247.0,22015500000.0,3849664200.0
2020-03-18,'601865,腦應杻,11.15,11.78,11.15,11.5,11.26,-0.11,-0.9769,2.3391,7975800,91648340.0,21742500000.0,3801927000.0
2020-03-17,'601865,腦應杻,11.26,11.6,10.75,11.6,11.16,0.1,0.8961,2.7267,9297621,104193377.0,21957000000.0,3839434800.0
2020-03-16,'601865,腦應杻,11.16,12.35,11.06,12.19,12.12,-0.96,-7.9208,3.0311,10335613,120204137.0,21762000000.0,3805336800.0
2020-03-13,'601865,腦應杻,12.12,12.28,11.35,11.59,12.2,-0.08,-0.6557,3.1668,10798242,127279207.0,23634000000.0,4132677600.0
2020-03-12,'601865,腦應杻,12.2,12.52,12.03,12.46,12.62,-0.42,-3.3281,2.123,7238881,88721537.0,23790000000.0,4159956000.0
2020-03-11,'601865,腦應杻,12.62,13.2,12.46,12.83,12.7,-0.08,-0.6299,3.3421,11395775,146356647.0,24609000000.0,4303167600.0
2020-03-10,'601865,腦應杻,12.7,12.75,11.85,11.96,12.32,0.38,3.0844,3.9792,13568174,167193910.0,24765000000.0,4330446000.0
2020-03-09,'601865,腦應杻,12.32,13.05,12.24,12.87,13.29,-0.97,-7.2987,4.7425,16171120,202231995.0,24024000000.0,4200873600.0
2020-03-06,'601865,腦應杻,13.29,13.46,13.07,13.46,13.77,-0.48,-3.4858,4.3357,14783913,195742062.0,25915500000.0,4531624200.0
2020-03-05,'601865,腦應杻,13.77,14.18,13.46,13.73,13.35,0.42,3.1461,4.993,17024963,234628060.0,26851500000.0,4695294600.0
2020-03-04,'601865,腦應杻,13.35,13.41,12.95,13.2,13.33,0.02,0.15,2.6701,9104442,120167811.0,26032500000.0,4552083000.0
2020-03-03,'601865,腦應杻,13.33,13.75,13.1,13.38,13.22,0.11,0.8321,3.8154,13009879,174876727.0,25993500000.0,4545263400.0
2020-03-02,'601865,腦應杻,13.22,13.46,12.86,13.16,12.85,0.37,2.8794,3.649,12442407,163455422.0,25779000000.0,4507755600.0
2020-02-28,'601865,腦應杻,12.85,13.8,12.83,13.8,14.25,-1.4,-9.8246,4.6666,15912256,209700687.0,25057500000.0,4381593000.0
2020-02-27,'601865,腦應杻,14.25,14.78,14.11,14.67,14.37,-0.12,-0.8351,3.2128,10955113,157395120.0,27787500000.0,4858965000.0
2020-02-26,'601865,腦應杻,14.37,15.3,14.2,15.1,15.35,-0.98,-6.3844,4.5458,15500208,226416819.0,28021500000.0,4899882600.0
