хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2020-03-26,'603385,╩щ╢Онют║,10.05,10.36,10.03,10.3,10.37,-0.32,-3.0858,1.2179,3211940,32697528.0,3712434262.2,2650455616.35
2020-03-25,'603385,╩щ╢Онют║,10.37,10.47,10.22,10.36,10.16,0.21,2.0669,1.6972,4476050,46292213.0,3830641124.28,2734848232.99
2020-03-24,'603385,╩щ╢Онют║,10.16,10.28,10.02,10.27,10.01,0.15,1.4985,1.3807,3641359,37004159.0,3753067871.04,2679465578.32
2020-03-23,'603385,╩щ╢Онют║,10.01,10.42,9.87,10.0,10.26,-0.25,-2.4366,1.9268,5081595,51692174.0,3697658404.44,2639906539.27
2020-03-20,'603385,╩щ╢Онют║,10.26,10.72,10.16,10.36,10.03,0.23,2.2931,3.2956,8691470,90654437.0,3790007515.44,2705838271.02
2020-03-19,'603385,╩щ╢Онют║,10.03,10.05,9.67,9.8,9.8,0.23,2.3469,1.3397,3533076,34946594.0,3705046333.32,2645181077.81
2020-03-18,'603385,╩щ╢Онют║,9.8,10.12,9.76,9.84,9.65,0.15,1.5544,1.9965,5265272,52380521.0,3620085151.2,2584523884.6
2020-03-17,'603385,╩щ╢Онют║,9.65,9.72,9.29,9.56,9.53,0.12,1.2592,1.2499,3296426,31505372.0,3564675684.6,2544964845.55
2020-03-16,'603385,╩щ╢Онют║,9.53,10.22,9.53,10.1,10.05,-0.52,-5.1741,1.7802,4694890,46373155.0,3520348111.32,2513317614.31
2020-03-13,'603385,╩щ╢Онют║,10.05,10.16,9.69,9.79,10.33,-0.28,-2.7106,1.7757,4682908,46542809.0,3712434262.2,2650455616.35
2020-03-12,'603385,╩щ╢Онют║,10.33,10.43,10.18,10.31,10.49,-0.16,-1.5253,0.9923,2616957,26936290.0,3815865266.52,2724299155.91
2020-03-11,'603385,╩щ╢Онют║,10.49,10.71,10.45,10.49,10.48,0.01,0.0954,1.205,3177907,33588045.0,3874968697.56,2766495464.23
2020-03-10,'603385,╩щ╢Онют║,10.48,10.5,10.09,10.21,10.36,0.12,1.1583,1.4065,3709421,38287794.0,3871274733.12,2763858194.96
2020-03-09,'603385,╩щ╢Онют║,10.36,10.67,10.33,10.61,10.82,-0.46,-4.2514,1.7908,4722838,49426882.0,3826947159.84,2732210963.72
2020-03-06,'603385,╩щ╢Онют║,10.82,11.09,10.72,10.9,11.09,-0.27,-2.4346,1.7666,4658992,50719958.0,3996869524.08,2853525350.14
2020-03-05,'603385,╩щ╢Онют║,11.09,11.34,10.54,10.69,10.69,0.4,3.7418,3.4751,9164691,100248591.0,4096606563.96,2924731620.43
2020-03-04,'603385,╩щ╢Онют║,10.69,10.75,10.1,10.1,10.21,0.48,4.7013,3.061,8072801,84616479.0,3948847986.36,2819240849.63
2020-03-03,'603385,╩щ╢Онют║,10.21,10.42,10.12,10.4,10.21,0.0,0.0,2.0063,5291163,54393495.0,3771537693.24,2692651924.67
2020-03-02,'603385,╩щ╢Онют║,10.21,10.35,9.6,9.66,9.54,0.67,7.0231,2.6252,6923438,69695616.0,3771537693.24,2692651924.67
2020-02-28,'603385,╩щ╢Онют║,9.54,10.16,9.52,10.16,10.27,-0.73,-7.1081,2.6232,6917990,67582678.0,3524042075.76,2515954883.58
2020-02-27,'603385,╩щ╢Онют║,10.27,10.33,10.12,10.16,10.16,0.11,1.0827,1.664,4388540,44956975.0,3793701479.88,2708475540.29
2020-02-26,'603385,╩щ╢Онют║,10.16,10.28,9.81,9.88,9.97,0.19,1.9057,2.7777,7325605,73924365.0,3753067871.04,2679465578.32
2020-02-25,'603385,╩щ╢Онют║,9.97,10.03,9.75,9.9,10.11,-0.14,-1.3848,1.9118,5041869,49932623.0,3682882546.68,2629357462.19
2020-02-24,'603385,╩щ╢Онют║,10.11,10.23,9.98,10.23,10.28,-0.17,-1.6537,2.215,5841551,58947149.0,3734598048.84,2666279231.97
2020-02-21,'603385,╩щ╢Онют║,10.28,10.44,10.22,10.32,10.38,-0.1,-0.9634,2.3646,6235970,64344944.0,3797395444.32,2711112809.56
2020-02-20,'603385,╩щ╢Онют║,10.38,10.38,10.08,10.18,10.22,0.16,1.5656,2.0868,5503568,56429846.0,3834335088.72,2737485502.26
2020-02-19,'603385,╩щ╢Онют║,10.22,10.35,10.16,10.29,10.29,-0.07,-0.6803,1.5392,4059301,41663810.0,3775231657.68,2695289193.94
2020-02-18,'603385,╩щ╢Онют║,10.29,10.4,10.18,10.4,10.35,-0.06,-0.5797,1.6473,4344378,44577971.0,3801089408.76,2713750078.83
2020-02-17,'603385,╩щ╢Онют║,10.35,10.35,10.05,10.1,10.01,0.34,3.3966,2.2328,5888531,59991528.0,3823253195.4,2729573694.45
2020-02-14,'603385,╩щ╢Онют║,10.01,10.16,9.91,10.1,10.04,-0.03,-0.2988,2.0869,5503838,55174946.0,3697658404.44,2639906539.27
2020-02-13,'603385,╩щ╢Онют║,10.04,10.43,10.0,10.4,10.45,-0.41,-3.9234,2.6756,7056278,71733569.0,3708740297.76,2647818347.08
2020-02-12,'603385,╩щ╢Онют║,10.45,10.79,10.34,10.61,10.2,0.25,2.451,3.7849,9981785,104616567.0,3860192839.8,2755946387.15
2020-02-11,'603385,╩щ╢Онют║,10.2,10.35,10.05,10.18,10.11,0.09,0.8902,1.8143,4784778,48903041.0,3767843728.8,2690014655.4
2020-02-10,'603385,╩щ╢Онют║,10.11,10.14,9.79,9.82,9.89,0.22,2.2245,1.3922,3671498,36758738.0,3734598048.84,2666279231.97
2020-02-07,'603385,╩щ╢Онют║,9.89,9.95,9.64,9.81,9.9,-0.01,-0.101,1.8192,4797610,46978016.0,3653330831.16,2608259308.03
2020-02-06,'603385,╩щ╢Онют║,9.9,10.07,9.43,9.63,9.65,0.25,2.5907,3.1821,8392173,81253196.0,3657024795.6,2610896577.3
2020-02-05,'603385,╩щ╢Онют║,9.65,9.92,9.53,9.56,9.56,0.09,0.9414,2.9105,7675825,74518571.0,3564675684.6,2544964845.55
2020-02-04,'603385,╩щ╢Онют║,9.56,9.85,8.89,8.89,9.86,-0.3,-3.0426,3.9995,10547766,99431660.0,3531430004.64,2521229422.12
2020-02-03,'603385,╩щ╢Онют║,9.86,9.86,9.86,9.86,10.95,-1.09,-9.9543,0.3043,802600,7913636.0,3642248937.84,2600347500.22
2020-01-23,'603385,╩щ╢Онют║,10.95,11.68,10.88,11.52,11.67,-0.72,-6.1697,1.666,4393780,49059070.0,4044891061.8,2887809850.65
2020-01-22,'603385,╩щ╢Онют║,11.67,11.75,11.32,11.71,11.75,-0.08,-0.6809,1.1668,3077034,35498902.0,4310856501.48,3077693238.09
2020-01-21,'603385,╩щ╢Онют║,11.75,12.14,11.7,12.14,12.14,-0.39,-3.2125,1.3231,3489436,41320035.0,4340408217.0,3098791392.25
2020-01-20,'603385,╩щ╢Онют║,12.14,12.22,11.85,11.85,11.9,0.24,2.0168,1.3112,3457939,41690902.0,4484472830.16,3201644893.78
2020-01-17,'603385,╩щ╢Онют║,11.9,12.03,11.76,11.84,11.82,0.08,0.6768,1.0407,2744675,32625426.0,4395817683.6,3138350431.3
2020-01-16,'603385,╩щ╢Онют║,11.82,12.06,11.79,11.93,11.93,-0.11,-0.922,1.0806,2849705,33911327.0,4366265968.08,3117252277.14
2020-01-15,'603385,╩щ╢Онют║,11.93,12.03,11.72,11.88,11.87,0.06,0.5055,1.1749,3098625,36852654.0,4406899576.92,3146262239.11
2020-01-14,'603385,╩щ╢Онют║,11.87,12.4,11.85,12.4,12.17,-0.3,-2.4651,1.814,4784107,57467851.0,4384735790.28,3130438623.49
2020-01-13,'603385,╩щ╢Онют║,12.17,12.37,11.93,12.13,12.12,0.05,0.4125,2.8745,7580726,92028382.0,4495554723.48,3209556701.59
2020-01-10,'603385,╩щ╢Онют║,12.12,12.12,11.57,11.6,11.54,0.58,5.026,2.7534,7261584,86795046.0,4477084901.28,3196370355.24
2020-01-09,'603385,╩щ╢Онют║,11.54,11.55,11.2,11.3,11.18,0.36,3.22,1.8535,4888199,55695202.0,4262834963.76,3043408737.58
2020-01-08,'603385,╩щ╢Онют║,11.18,11.47,11.13,11.47,11.5,-0.32,-2.7826,1.6654,4392204,49539543.0,4129852243.92,2948467043.86
2020-01-07,'603385,╩щ╢Онют║,11.5,11.63,11.39,11.41,11.4,0.1,0.8772,1.0035,2646374,30449369.0,4248059106.0,3032859660.5
2020-01-06,'603385,╩щ╢Онют║,11.4,11.61,11.36,11.48,11.58,-0.18,-1.5544,1.4199,3744738,42937139.0,4211119461.6,3006486967.8
2020-01-03,'603385,╩щ╢Онют║,11.58,11.74,11.45,11.6,11.64,-0.06,-0.5155,1.6563,4367997,50444490.0,4277610821.52,3053957814.66
