日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量
2020-03-31,'000300,沪深300,3686.1551,3716.0707,3676.2024,3708.1404,3674.1108,12.0443,0.3278,111453025
2020-03-30,'000300,沪深300,3674.1108,3690.6388,3637.5853,3657.4624,3710.0605,-35.9497,-0.969,126876673
2020-03-27,'000300,沪深300,3710.0605,3758.7827,3709.9213,3746.3914,3698.0472,12.0133,0.3249,124060995
2020-03-26,'000300,沪深300,3698.0472,3736.2536,3681.2668,3692.6083,3722.5181,-24.4709,-0.6574,112310665
2020-03-25,'000300,沪深300,3722.5181,3732.6536,3685.9942,3711.4753,3625.1146,97.4035,2.6869,153495958
2020-03-24,'000300,沪深300,3625.1146,3627.7592,3545.4524,3598.6548,3530.3058,94.8088,2.6856,143103021
2020-03-23,'000300,沪深300,3530.3058,3585.8014,3523.7877,3542.6837,3653.2239,-122.9181,-3.3646,137108790
2020-03-20,'000300,沪深300,3653.2239,3663.9517,3588.7766,3629.5126,3589.0926,64.1313,1.7868,139603000
2020-03-19,'000300,沪深300,3589.0926,3647.9874,3503.1866,3623.789,3636.2565,-47.1639,-1.297,180807407
2020-03-18,'000300,沪深300,3636.2565,3775.8506,3636.2565,3729.6853,3709.6822,-73.4257,-1.9793,155037547
2020-03-17,'000300,沪深300,3709.6822,3786.8908,3618.307,3739.7833,3727.8398,-18.1576,-0.4871,166246129
2020-03-16,'000300,沪深300,3727.8398,3899.8598,3720.5127,3899.8598,3895.3128,-167.473,-4.2993,185968260
2020-03-13,'000300,沪深300,3895.3128,3937.1806,3765.1479,3771.0139,3950.9111,-55.5983,-1.4072,188296722
2020-03-12,'000300,沪深300,3950.9111,3987.4336,3926.2704,3976.1139,4028.4289,-77.5178,-1.9243,157060458
2020-03-11,'000300,沪深300,4028.4289,4091.2704,4028.3964,4090.9348,4082.7315,-54.3026,-1.3301,161656111
2020-03-10,'000300,沪深300,4082.7315,4093.0024,3954.7506,3975.2288,3997.1325,85.599,2.1415,197416402
2020-03-09,'000300,沪深300,3997.1325,4063.076,3995.1313,4063.076,4138.5072,-141.3747,-3.4161,208102035
2020-03-06,'000300,沪深300,4138.5072,4181.3102,4135.3901,4158.2021,4206.7251,-68.2179,-1.6216,172475717
2020-03-05,'000300,沪深300,4206.7251,4215.8513,4127.0386,4150.21,4115.0524,91.6727,2.2277,231823115
2020-03-04,'000300,沪深300,4115.0524,4115.2618,4060.729,4078.4998,4091.3615,23.6909,0.579,182424730
2020-03-03,'000300,沪深300,4091.3615,4147.6525,4067.9094,4125.1356,4069.6662,21.6953,0.5331,219369777
