»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-27,'300416,À’ ‘ ‘—È,29.82,31.8,29.82,31.0,30.63,-0.81,-2.6445,1.1016,1493509,45800125.0,4042921855.14,4042921855.14
2020-03-26,'300416,À’ ‘ ‘—È,30.63,30.81,29.7,30.3,30.63,0.0,0.0,1.3123,1779200,53774627.0,4152739652.01,4152739652.01
2020-03-25,'300416,À’ ‘ ‘—È,30.63,30.99,29.55,30.16,29.01,1.62,5.5843,1.7684,2397600,72137025.0,4152739652.01,4152739652.01
2020-03-24,'300416,À’ ‘ ‘—È,29.01,29.88,28.01,29.68,28.93,0.08,0.2765,1.6729,2268100,65690953.85,3933104058.27,3933104058.27
2020-03-23,'300416,À’ ‘ ‘—È,28.93,30.29,28.88,29.8,30.24,-1.31,-4.332,2.0972,2843396,83986780.56,3922257856.11,3922257856.11
2020-03-20,'300416,À’ ‘ ‘—È,30.24,30.88,30.01,30.65,30.1,0.14,0.4651,0.9948,1348700,40972150.65,4099864416.48,4099864416.48
2020-03-19,'300416,À’ ‘ ‘—È,30.1,30.5,29.36,30.0,30.03,0.07,0.2331,1.2149,1647197,49411739.06,4080883562.7,4080883562.7
2020-03-18,'300416,À’ ‘ ‘—È,30.03,31.79,30.0,31.13,30.5,-0.47,-1.541,1.6218,2198841,68139226.91,4071393135.81,4071393135.81
2020-03-17,'300416,À’ ‘ ‘—È,30.5,32.15,29.38,31.6,31.4,-0.9,-2.8662,1.6929,2295200,70361140.65,4135114573.5,4135114573.5
2020-03-16,'300416,À’ ‘ ‘—È,31.4,34.85,30.85,34.6,34.28,-2.88,-8.4014,2.6334,3570275,115550414.75,4257134347.8,4257134347.8
2020-03-13,'300416,À’ ‘ ‘—È,34.28,34.99,32.06,32.12,34.8,-0.52,-1.4943,2.001,2712888,91436132.36,4647597625.56,4647597625.56
2020-03-12,'300416,À’ ‘ ‘—È,34.8,35.09,33.96,34.76,35.35,-0.55,-1.5559,0.8805,1193754,41274239.3,4718097939.6,4718097939.6
2020-03-11,'300416,À’ ‘ ‘—È,35.35,36.31,35.35,35.87,35.87,-0.52,-1.4497,1.29,1749000,62753388.0,4792665579.45,4792665579.45
2020-03-10,'300416,À’ ‘ ‘—È,35.87,36.45,33.2,33.9,34.2,1.67,4.883,1.9918,2700500,93986976.0,4863165893.49,4863165893.49
2020-03-09,'300416,À’ ‘ ‘—È,34.2,35.16,33.38,35.16,35.45,-1.25,-3.5261,2.0629,2796808,96018799.38,4636751423.4,4636751423.4
2020-03-06,'300416,À’ ‘ ‘—È,35.45,36.49,35.2,35.5,35.82,-0.37,-1.0329,1.7881,2424278,87144505.53,4806223332.15,4806223332.15
2020-03-05,'300416,À’ ‘ ‘—È,35.82,36.8,35.57,35.9,35.5,0.32,0.9014,2.1856,2963159,106722867.73,4856387017.14,4856387017.14
2020-03-04,'300416,À’ ‘ ‘—È,35.5,36.1,35.07,35.58,36.3,-0.8,-2.2039,1.8286,2479176,88016319.68,4813002208.5,4813002208.5
2020-03-03,'300416,À’ ‘ ‘—È,36.3,37.4,35.92,37.0,36.17,0.13,0.3594,1.9679,2668007,98052500.25,4921464230.1,4921464230.1
2020-03-02,'300416,À’ ‘ ‘—È,36.17,36.58,35.23,36.0,35.4,0.77,2.1751,2.2427,3040605,109341584.73,4903839151.59,4903839151.59
2020-02-28,'300416,À’ ‘ ‘—È,35.4,36.95,34.69,35.2,36.7,-1.3,-3.5422,2.7552,3735423,132620820.98,4799444455.8,4799444455.8
2020-02-27,'300416,À’ ‘ ‘—È,36.7,37.68,36.23,36.6,36.23,0.47,1.2973,2.3794,3225957,118978472.45,4975695240.9,4975695240.9
2020-02-26,'300416,À’ ‘ ‘—È,36.23,38.79,35.9,38.08,39.63,-3.4,-8.5794,4.8003,6508188,241716965.54,4911973803.21,4911973803.21
