日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'300627,华测导航,22.29,22.68,22.09,22.49,22.16,0.13,0.5866,1.208,2907892,65116990.31,5436085645.8,5365435261.8
2020-03-26,'300627,华测导航,22.16,22.64,22.08,22.45,22.47,-0.31,-1.3796,2.5782,2898400,64679955.0,5404381243.2,2491205837.76
2020-03-25,'300627,华测导航,22.47,22.95,22.32,22.46,21.9,0.57,2.6027,4.0405,4542326,102486512.48,5479984049.4,2526055738.92
2020-03-24,'300627,华测导航,21.9,22.38,21.0,22.13,21.68,0.22,1.0148,3.8762,4357626,95047107.48,5340972438.0,2461976888.4
2020-03-23,'300627,华测导航,21.68,22.67,21.57,22.38,22.95,-1.27,-5.5338,3.8561,4335000,96140952.0,5287318833.6,2437244700.48
2020-03-20,'300627,华测导航,22.95,23.38,22.41,23.24,22.95,0.0,0.0,2.8676,3223726,73733555.2,5597046459.0,2580016876.2
2020-03-19,'300627,华测导航,22.95,23.15,22.0,22.76,22.49,0.46,2.0454,3.7044,4164443,94483536.87,5597046459.0,2580016876.2
2020-03-18,'300627,华测导航,22.49,23.65,22.3,23.3,23.02,-0.53,-2.3023,3.8496,4327700,100492043.0,5484861649.8,2528304119.64
2020-03-17,'300627,华测导航,23.02,23.98,21.98,23.72,23.26,-0.24,-1.0318,4.074,4579981,105017954.05,5614118060.4,2587886208.72
2020-03-16,'300627,华测导航,23.26,25.32,22.9,25.12,24.99,-1.73,-6.9228,4.6848,5266600,127301548.0,5672649265.2,2614866777.36
2020-03-13,'300627,华测导航,24.99,25.49,23.98,24.05,25.5,-0.51,-2.0,4.0737,4579662,113158762.67,6094561699.8,2809351709.64
2020-03-12,'300627,华测导航,25.5,26.16,25.08,25.61,26.46,-0.96,-3.6281,4.2218,4746078,121691501.14,6218940510.0,2866685418.0
2020-03-11,'300627,华测导航,26.46,27.88,26.2,26.55,26.38,0.08,0.3033,7.5423,8479000,230420814.74,6453065329.2,2974607692.56
2020-03-10,'300627,华测导航,26.38,26.42,24.5,24.5,24.82,1.56,6.2853,5.573,6265146,159697755.5,6433554927.6,2965614169.68
2020-03-09,'300627,华测导航,24.82,26.27,24.78,25.8,26.48,-1.66,-6.2689,4.9231,5534500,141106702.0,6053102096.4,2790240473.52
2020-03-06,'300627,华测导航,26.48,26.75,25.75,26.0,26.5,-0.02,-0.0755,3.2672,3672985,97383283.64,6457942929.6,2976856073.28
2020-03-05,'300627,华测导航,26.5,27.15,25.99,26.99,26.42,0.08,0.3028,4.595,5165630,137051322.96,6462820530.0,2979104454.0
2020-03-04,'300627,华测导航,26.42,26.95,25.83,26.63,26.63,-0.21,-0.7886,4.5003,5059200,133638149.0,6443310128.4,2970110931.12
2020-03-03,'300627,华测导航,26.63,27.74,26.41,27.12,26.48,0.15,0.5665,5.863,6591157,179013586.98,6494524932.6,2993718928.68
2020-03-02,'300627,华测导航,26.48,26.8,25.82,26.13,25.72,0.76,2.9549,4.6411,5217455,137713207.59,6457942929.6,2976856073.28
2020-02-28,'300627,华测导航,25.72,27.37,25.71,27.02,28.57,-2.85,-9.9755,8.2694,9296400,246238197.03,6272594114.4,2891417605.92
