ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-03-27,'600421,*STÑö·«,10.69,10.69,10.19,10.25,10.19,0.5,4.9068,0.277,541760,5679006.0,2090964000.0,2090964000.0
2020-03-26,'600421,*STÑö·«,10.19,10.31,9.93,9.93,10.16,0.03,0.2953,0.1028,201100,2037580.0,1993164000.0,1993164000.0
2020-03-25,'600421,*STÑö·«,10.16,10.49,10.08,10.19,9.99,0.17,1.7017,0.1955,382400,3888609.0,1987296000.0,1987296000.0
2020-03-24,'600421,*STÑö·«,9.99,10.18,9.77,9.8,9.77,0.22,2.2518,0.339,663160,6634465.0,1954044000.0,1954044000.0
2020-03-23,'600421,*STÑö·«,9.77,9.94,9.38,9.64,9.64,0.13,1.3485,0.183,357900,3490874.0,1911012000.0,1911012000.0
2020-03-20,'600421,*STÑö·«,9.64,9.64,9.11,9.11,9.18,0.46,5.0109,0.2326,455000,4318485.0,1885584000.0,1885584000.0
2020-03-19,'600421,*STÑö·«,9.18,9.54,8.93,9.28,9.4,-0.22,-2.3404,0.524,1025020,9325203.0,1795608000.0,1795608000.0
2020-03-18,'600421,*STÑö·«,9.4,10.15,9.4,10.15,9.89,-0.49,-4.9545,0.3611,706300,6863746.0,1838640000.0,1838640000.0
2020-03-17,'600421,*STÑö·«,9.89,10.3,9.79,10.29,10.3,-0.41,-3.9806,0.501,979899,9742884.0,1934484000.0,1934484000.0
2020-03-16,'600421,*STÑö·«,10.3,10.75,10.21,10.51,10.4,-0.1,-0.9615,0.2291,448158,4712883.0,2014680000.0,2014680000.0
2020-03-13,'600421,*STÑö·«,10.4,10.82,10.4,10.82,10.95,-0.55,-5.0228,0.8569,1676100,17597426.0,2034240000.0,2034240000.0
2020-03-12,'600421,*STÑö·«,10.95,11.17,10.59,10.88,11.15,-0.2,-1.7937,0.3005,587704,6374557.0,2141820000.0,2141820000.0
2020-03-11,'600421,*STÑö·«,11.15,11.49,11.0,11.19,11.08,0.07,0.6318,0.5493,1074400,12108204.0,2180940000.0,2180940000.0
2020-03-10,'600421,*STÑö·«,11.08,11.28,10.61,10.69,10.98,0.1,0.9107,0.3865,755959,8270816.0,2167248000.0,2167248000.0
2020-03-09,'600421,*STÑö·«,10.98,11.38,10.7,10.89,10.85,0.13,1.1982,0.7517,1470309,16323252.0,2147688000.0,2147688000.0
2020-03-06,'600421,*STÑö·«,10.85,10.85,10.34,10.34,10.33,0.52,5.0339,0.5635,1102258,11865477.0,2122260000.0,2122260000.0
2020-03-05,'600421,*STÑö·«,10.33,10.34,9.66,9.9,9.9,0.43,4.3434,0.397,776519,7895173.0,2020548000.0,2020548000.0
2020-03-04,'600421,*STÑö·«,9.9,9.94,9.55,9.9,9.67,0.23,2.3785,0.1844,360731,3511694.0,1936440000.0,1936440000.0
2020-03-03,'600421,*STÑö·«,9.67,9.94,9.56,9.94,9.67,0.0,0.0,0.3308,647110,6274048.0,1891452000.0,1891452000.0
2020-03-02,'600421,*STÑö·«,9.67,9.68,9.23,9.27,9.22,0.45,4.8807,0.7447,1456707,13972150.0,1891452000.0,1891452000.0
2020-02-28,'600421,*STÑö·«,9.22,9.38,9.11,9.15,9.33,-0.11,-1.179,0.3734,730401,6774343.0,1803432000.0,1803432000.0
2020-02-27,'600421,*STÑö·«,9.33,9.39,9.06,9.29,9.22,0.11,1.1931,0.3047,595900,5520700.0,1824948000.0,1824948000.0
2020-02-26,'600421,*STÑö·«,9.22,9.32,8.94,8.94,9.08,0.14,1.5419,0.5065,990798,9124967.0,1803432000.0,1803432000.0
2020-02-25,'600421,*STÑö·«,9.08,9.17,8.89,8.98,9.13,-0.05,-0.5476,0.2467,482497,4348233.0,1776048000.0,1776048000.0
2020-02-24,'600421,*STÑö·«,9.13,9.32,8.9,9.03,9.12,0.01,0.1096,0.1628,318401,2892269.0,1785828000.0,1785828000.0
2020-02-21,'600421,*STÑö·«,9.12,9.4,8.86,9.06,9.02,0.1,1.1086,0.3427,670299,6174515.0,1783872000.0,1783872000.0
2020-02-20,'600421,*STÑö·«,9.02,9.15,8.44,8.7,8.77,0.25,2.8506,0.3373,659761,5868120.0,1764312000.0,1764312000.0
2020-02-19,'600421,*STÑö·«,8.77,8.8,8.16,8.62,8.57,0.2,2.3337,0.394,770617,6513909.0,1715412000.0,1715412000.0
2020-02-18,'600421,*STÑö·«,8.57,8.7,8.5,8.7,8.68,-0.11,-1.2673,0.2919,571016,4893599.0,1676292000.0,1676292000.0
2020-02-17,'600421,*STÑö·«,8.68,8.76,8.64,8.65,8.64,0.04,0.463,0.1874,366516,3174440.0,1697808000.0,1697808000.0
2020-02-14,'600421,*STÑö·«,8.64,8.71,8.56,8.71,8.71,-0.07,-0.8037,0.1437,281000,2426199.0,1689984000.0,1689984000.0
2020-02-13,'600421,*STÑö·«,8.71,8.9,8.61,8.9,8.9,-0.19,-2.1348,0.2005,392100,3423756.0,1703676000.0,1703676000.0
2020-02-12,'600421,*STÑö·«,8.9,9.0,8.71,8.8,8.83,0.07,0.7928,0.1294,253062,2250975.0,1740840000.0,1740840000.0
2020-02-11,'600421,*STÑö·«,8.83,8.84,8.66,8.77,8.78,0.05,0.5695,0.1418,277400,2423950.0,1727148000.0,1727148000.0
2020-02-10,'600421,*STÑö·«,8.78,8.84,8.66,8.84,8.85,-0.07,-0.791,0.228,446000,3885750.0,1717368000.0,1717368000.0
2020-02-07,'600421,*STÑö·«,8.85,8.93,8.78,8.88,8.93,-0.08,-0.8959,0.2155,421585,3720717.0,1731060000.0,1731060000.0
2020-02-06,'600421,*STÑö·«,8.93,9.2,8.84,9.18,9.0,-0.07,-0.7778,0.2784,544509,4878776.0,1746708000.0,1746708000.0
2020-02-05,'600421,*STÑö·«,9.0,9.08,8.42,8.65,8.65,0.35,4.0462,0.5179,1013099,9118412.0,1760400000.0,1760400000.0
2020-02-04,'600421,*STÑö·«,8.65,8.65,8.21,8.21,8.64,0.01,0.1157,0.5862,1146619,9645817.0,1691940000.0,1691940000.0
2020-02-03,'600421,*STÑö·«,8.64,8.64,8.64,8.64,9.09,-0.45,-4.9505,0.0427,83600,722304.0,1689984000.0,1689984000.0
2020-01-23,'600421,*STÑö·«,9.09,9.41,8.92,9.03,8.96,0.13,1.4509,0.4735,926200,8421091.0,1778004000.0,1778004000.0
2020-01-22,'600421,*STÑö·«,8.96,9.38,8.89,9.12,9.09,-0.13,-1.4301,0.2624,513301,4608521.0,1752576000.0,1752576000.0
2020-01-21,'600421,*STÑö·«,9.09,9.12,8.99,9.09,9.09,0.0,0.0,0.1309,256065,2322173.0,1778004000.0,1778004000.0
2020-01-20,'600421,*STÑö·«,9.09,9.1,8.76,8.85,8.95,0.14,1.5642,0.2832,553885,4921672.0,1778004000.0,1778004000.0
2020-01-17,'600421,*STÑö·«,8.95,9.12,8.77,8.9,8.91,0.04,0.4489,0.3968,776186,6945266.0,1750620000.0,1750620000.0
2020-01-16,'600421,*STÑö·«,8.91,9.1,8.91,8.99,9.05,-0.14,-1.547,0.1921,375759,3384932.0,1742796000.0,1742796000.0
2020-01-15,'600421,*STÑö·«,9.05,9.12,8.97,9.04,9.04,0.01,0.1106,0.1319,258074,2339360.0,1770180000.0,1770180000.0
2020-01-14,'600421,*STÑö·«,9.04,9.19,9.03,9.11,9.05,-0.01,-0.1105,0.1548,302710,2757198.0,1768224000.0,1768224000.0
2020-01-13,'600421,*STÑö·«,9.05,9.18,8.95,9.16,9.16,-0.11,-1.2009,0.3988,780100,7055338.0,1770180000.0,1770180000.0
2020-01-10,'600421,*STÑö·«,9.16,9.22,9.09,9.12,9.2,-0.04,-0.4348,0.1929,377352,3442880.0,1791696000.0,1791696000.0
2020-01-09,'600421,*STÑö·«,9.2,9.36,8.93,8.93,9.25,-0.05,-0.5405,0.2311,451952,4172053.0,1799520000.0,1799520000.0
2020-01-08,'600421,*STÑö·«,9.25,9.25,9.04,9.21,9.18,0.07,0.7625,0.3361,657425,5999577.0,1809300000.0,1809300000.0
2020-01-07,'600421,*STÑö·«,9.18,9.4,8.89,8.95,8.95,0.23,2.5698,0.4609,901574,8351384.0,1795608000.0,1795608000.0
2020-01-06,'600421,*STÑö·«,8.95,8.97,8.57,8.57,8.79,0.16,1.8203,0.6047,1182781,10501033.0,1750620000.0,1750620000.0
2020-01-03,'600421,*STÑö·«,8.79,9.0,8.58,8.8,8.57,0.22,2.5671,0.7442,1455669,12790490.0,1719324000.0,1719324000.0
