�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-03-27,'600876,醫栠產薛,13.57,14.1,13.53,13.97,13.88,-0.31,-2.2334,1.6263,4538013,62588745.0,7496020627.13,3786652550.89
2020-03-26,'600876,醫栠產薛,13.88,14.17,13.66,13.66,13.75,0.13,0.9455,2.4154,6740113,93881607.0,7667263544.92,3873156772.76
2020-03-25,'600876,醫栠產薛,13.75,13.83,13.59,13.75,13.49,0.26,1.9274,1.4466,4036756,55319847.0,7595451998.75,3836880808.75
2020-03-24,'600876,醫栠產薛,13.49,13.58,13.07,13.39,13.12,0.37,2.8201,1.5308,4271600,57078037.0,7451828906.41,3764328880.73
2020-03-23,'600876,醫栠產薛,13.12,13.48,13.01,13.18,13.66,-0.54,-3.9531,1.485,4143856,54787181.0,7247442198.08,3661081906.24
2020-03-20,'600876,醫栠產薛,13.66,13.79,13.45,13.59,13.45,0.21,1.5613,1.5567,4343901,59254709.0,7545736312.94,3811766679.82
2020-03-19,'600876,醫栠產薛,13.45,13.51,12.9,13.17,13.06,0.39,2.9862,2.1094,5886202,77981139.0,7429733046.05,3753167045.65
2020-03-18,'600876,醫栠產薛,13.06,13.74,13.05,13.4,13.3,-0.24,-1.8045,1.9236,5367827,72126250.0,7214298407.54,3644339153.62
2020-03-17,'600876,醫栠產薛,13.3,13.79,12.5,13.46,13.4,-0.1,-0.7463,2.1152,5902479,77680818.0,7346873569.7,3711310164.1
2020-03-16,'600876,醫栠產薛,13.4,14.47,13.3,14.37,14.18,-0.78,-5.5007,2.364,6596631,92211716.0,7402113220.6,3739214751.8
2020-03-13,'600876,醫栠產薛,14.18,14.4,13.78,13.85,14.77,-0.59,-3.9946,3.2087,8953844,125907930.0,7832982497.62,3956870535.86
2020-03-12,'600876,醫栠產薛,14.77,15.35,14.63,14.87,15.31,-0.54,-3.5271,3.0806,8596176,127696495.0,8158896437.93,4121507603.29
2020-03-11,'600876,醫栠產薛,15.31,16.2,15.28,15.68,15.28,0.03,0.1963,4.5475,12689614,198675986.0,8457190552.79,4272192376.87
2020-03-10,'600876,醫栠產薛,15.28,15.3,14.41,14.74,14.9,0.38,2.5503,3.5331,9859085,147250572.0,8440618657.52,4263821000.56
2020-03-09,'600876,醫栠產薛,14.9,15.56,14.9,15.41,15.93,-1.03,-6.4658,3.9619,11055601,167734345.0,8230707984.1,4157783567.3
2020-03-06,'600876,醫栠產薛,15.93,16.22,15.8,15.83,16.19,-0.26,-1.6059,3.0974,8643171,138112887.0,8799676388.37,4445200820.61
2020-03-05,'600876,醫栠產薛,16.19,16.69,16.04,16.56,16.49,-0.3,-1.8193,5.2579,14672089,238796858.0,8943299480.71,4517752748.63
2020-03-04,'600876,醫栠產薛,16.49,16.68,15.81,15.99,15.96,0.53,3.3208,6.373,17783523,290118622.0,9109018433.41,4601466511.73
2020-03-03,'600876,醫栠產薛,15.96,16.3,15.66,16.05,15.6,0.36,2.3077,5.3948,15054019,240618940.0,8816248283.64,4453572196.92
2020-03-02,'600876,醫栠產薛,15.6,15.6,14.23,14.23,14.18,1.42,10.0141,5.1872,14474630,219785922.0,8617385540.4,4353115681.2
2020-02-28,'600876,醫栠產薛,14.18,15.39,14.18,14.9,15.76,-1.58,-10.0254,4.9319,13762183,201898522.0,7832982497.62,3956870535.86
2020-02-27,'600876,醫栠產薛,15.76,16.13,15.47,15.57,15.47,0.29,1.8746,3.9719,11083294,175464703.0,8705768981.84,4397763021.52
2020-02-26,'600876,醫栠產薛,15.47,16.49,15.33,16.11,16.5,-1.03,-6.2424,5.8048,16198011,257771674.0,8545573994.23,4316839717.19
2020-02-25,'600876,醫栠產薛,16.5,16.5,15.21,15.3,15.9,0.6,3.7736,8.0189,22376451,361972908.0,9114542398.5,4604256970.5
2020-02-24,'600876,醫栠產薛,15.9,16.33,15.51,16.01,16.01,-0.11,-0.6871,5.3562,14946302,237426360.0,8783104493.1,4436829444.3
2020-02-21,'600876,醫栠產薛,16.01,16.45,15.7,15.8,16.03,-0.02,-0.1248,5.8403,16297036,261653388.0,8843868109.09,4467524490.77
2020-02-20,'600876,醫栠產薛,16.03,17.2,15.88,16.8,16.12,-0.09,-0.5583,7.2305,20176464,328668545.0,8854916039.27,4473105408.31
2020-02-19,'600876,醫栠產薛,16.12,16.18,15.5,15.5,15.8,0.32,2.0253,6.6018,18422022,294026422.0,8904631725.08,4498219537.24
2020-02-18,'600876,醫栠產薛,15.8,16.28,15.3,15.57,15.5,0.3,1.9355,5.344,14912244,235874676.0,8727864842.2,4408924856.6
2020-02-17,'600876,醫栠產薛,15.5,15.59,15.02,15.05,15.19,0.31,2.0408,4.4675,12466373,191303420.0,8562145889.5,4325211093.5
2020-02-14,'600876,醫栠產薛,15.19,15.69,14.93,15.26,15.71,-0.52,-3.31,6.4244,17926996,274227911.0,8390902971.71,4238706871.63
2020-02-13,'600876,醫栠產薛,15.71,16.49,15.22,15.39,15.78,-0.07,-0.4436,8.7695,24470969,389568012.0,8678149156.39,4383810727.67
2020-02-12,'600876,醫栠產薛,15.78,16.29,15.1,15.74,15.06,0.72,4.7809,10.2195,28516994,448582071.0,8716816912.02,4403343939.06
2020-02-11,'600876,醫栠產薛,15.06,15.06,13.55,13.55,13.69,1.37,10.0073,3.9872,11126073,160930220.0,8319091425.54,4202430907.62
2020-02-10,'600876,醫栠產薛,13.69,13.75,13.0,13.05,13.2,0.49,3.7121,3.6212,10104800,136745358.0,7562308208.21,3820138056.13
2020-02-07,'600876,醫栠產薛,13.2,13.28,12.75,13.2,13.1,0.1,0.7634,3.2266,9003572,117343954.0,7291633918.8,3683405576.4
2020-02-06,'600876,醫栠產薛,13.1,13.3,12.67,12.97,12.82,0.28,2.1841,3.1514,8793901,114867020.0,7236394267.9,3655500988.7
2020-02-05,'600876,醫栠產薛,12.82,13.3,12.6,12.79,12.68,0.14,1.1041,3.0036,8381391,108545765.0,7081723245.38,3577368143.14
2020-02-04,'600876,醫栠產薛,12.68,13.12,11.83,11.83,13.14,-0.46,-3.5008,4.2339,11814560,147207123.0,7004387734.12,3538301720.36
2020-02-03,'600876,醫栠產薛,13.14,13.14,13.14,13.14,14.6,-1.46,-10.0,0.3635,1014300,13327902.0,7258490128.26,3666662823.78
2020-01-23,'600876,醫栠產薛,14.6,15.21,14.2,14.24,14.24,0.36,2.5281,4.5881,12802951,188778552.0,8064989031.4,4074069804.2
2020-01-22,'600876,醫栠產薛,14.24,14.38,13.73,14.07,14.21,0.03,0.2111,2.2691,6331952,88859414.0,7866126288.16,3973613288.48
2020-01-21,'600876,醫栠產薛,14.21,14.59,14.21,14.31,14.48,-0.27,-1.8646,1.9463,5431129,78115804.0,7849554392.89,3965241912.17
2020-01-20,'600876,醫栠產薛,14.48,14.55,14.26,14.3,14.61,-0.13,-0.8898,2.2769,6353554,91596458.0,7998701450.32,4040584298.96
