хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2020-03-27,'603332,кужщаЗ╫э,23.97,24.45,23.97,24.45,24.18,-0.21,-0.8685,2.2337,664204,16061593.0,2850943860.0,712747950.0
2020-03-26,'603332,кужщаЗ╫э,24.18,24.53,24.1,24.2,24.29,-0.11,-0.4529,2.2148,658558,16008478.0,2875920840.0,718992300.0
2020-03-25,'603332,кужщаЗ╫э,24.29,24.58,24.18,24.21,23.99,0.3,1.2505,2.8868,858398,20879755.0,2889004020.0,722263150.0
2020-03-24,'603332,кужщаЗ╫э,23.99,23.99,23.33,23.95,23.41,0.58,2.4776,2.5924,770858,18292989.0,2853322620.0,713342650.0
2020-03-23,'603332,кужщаЗ╫э,23.41,23.9,23.37,23.45,24.09,-0.68,-2.8227,2.4976,742648,17570629.0,2784338580.0,696096350.0
2020-03-20,'603332,кужщаЗ╫э,24.09,24.18,23.68,24.04,23.7,0.39,1.6456,2.3316,693300,16617659.0,2865216420.0,716316150.0
2020-03-19,'603332,кужщаЗ╫э,23.7,23.83,23.08,23.54,23.35,0.35,1.4989,2.9295,871097,20448100.0,2818830600.0,704719500.0
2020-03-18,'603332,кужщаЗ╫э,23.35,24.29,23.35,23.88,23.55,-0.2,-0.8493,2.8213,838900,20055146.0,2777202300.0,694312250.0
2020-03-17,'603332,кужщаЗ╫э,23.55,24.07,22.81,23.78,23.69,-0.14,-0.591,3.0637,911000,21363265.0,2800989900.0,700259250.0
2020-03-16,'603332,кужщаЗ╫э,23.69,24.89,23.69,24.55,24.33,-0.64,-2.6305,3.504,1041900,25312101.0,2817641220.0,704422150.0
2020-03-13,'603332,кужщаЗ╫э,24.33,24.56,23.68,23.88,25.06,-0.73,-2.913,5.4609,1623800,39036398.0,2893761540.0,723452550.0
2020-03-12,'603332,кужщаЗ╫э,25.06,25.92,24.92,25.47,25.81,-0.75,-2.9059,3.4488,1025500,25873973.0,2980586280.0,745159100.0
2020-03-11,'603332,кужщаЗ╫э,25.81,26.4,25.73,25.97,25.88,-0.07,-0.2705,4.4532,1324158,34574379.0,3069789780.0,767460350.0
2020-03-10,'603332,кужщаЗ╫э,25.88,25.98,24.46,24.93,25.52,0.36,1.4107,6.3923,1900745,47962832.0,3078115440.0,769541800.0
2020-03-09,'603332,кужщаЗ╫э,25.52,26.43,25.48,26.31,26.59,-1.07,-4.0241,6.8031,2022887,52481562.0,3035297760.0,758837200.0
2020-03-06,'603332,кужщаЗ╫э,26.59,27.2,26.31,26.31,26.8,-0.21,-0.7836,6.2932,1871279,50183087.0,3162561420.0,790653650.0
2020-03-05,'603332,кужщаЗ╫э,26.8,27.17,26.33,26.59,26.3,0.5,1.9011,6.2444,1856762,49618628.0,3187538400.0,796898000.0
2020-03-04,'603332,кужщаЗ╫э,26.3,26.74,26.11,26.62,26.73,-0.43,-1.6087,6.8441,2035100,53723591.0,3128069400.0,782030500.0
2020-03-03,'603332,кужщаЗ╫э,26.73,27.48,26.38,27.19,26.92,-0.19,-0.7058,10.9263,3248928,87590387.0,3179212740.0,794816550.0
2020-03-02,'603332,кужщаЗ╫э,26.92,27.3,26.57,26.57,26.21,0.71,2.7089,5.6121,1668758,45007828.0,3201810960.0,800466200.0
2020-02-28,'603332,кужщаЗ╫э,26.21,27.66,26.21,26.95,27.68,-1.47,-5.3107,7.8431,2332137,62512470.0,3117364980.0,779354350.0
2020-02-27,'603332,кужщаЗ╫э,27.68,28.37,27.27,27.97,28.17,-0.49,-1.7394,7.3544,2186824,60945640.0,3292203840.0,823064800.0
2020-02-26,'603332,кужщаЗ╫э,28.17,28.88,26.82,27.26,27.7,0.47,1.6968,14.4,4281833,119754278.0,3350483460.0,837634950.0
2020-02-25,'603332,кужщаЗ╫э,27.7,27.8,26.01,26.06,26.93,0.77,2.8593,14.9768,4453356,121205343.0,3294582600.0,823659500.0
2020-02-24,'603332,кужщаЗ╫э,26.93,27.67,25.84,25.84,25.22,1.71,6.7803,12.2751,3649987,97943371.0,3203000340.0,800763550.0
2020-02-21,'603332,кужщаЗ╫э,25.22,25.45,25.17,25.45,25.26,-0.04,-0.1584,4.6004,1367937,34565228.0,2999616360.0,749916700.0
2020-02-20,'603332,кужщаЗ╫э,25.26,25.28,24.78,25.11,24.93,0.33,1.3237,4.3032,1279564,32102871.0,3004373880.0,751106100.0
2020-02-19,'603332,кужщаЗ╫э,24.93,25.68,24.91,25.08,25.09,-0.16,-0.6377,4.2875,1274880,32102964.0,2965124340.0,741293550.0
2020-02-18,'603332,кужщаЗ╫э,25.09,25.28,24.7,24.83,24.74,0.35,1.4147,4.3444,1291800,32276055.0,2984154420.0,746051150.0
2020-02-17,'603332,кужщаЗ╫э,24.74,24.77,24.04,24.13,24.04,0.7,2.9118,3.6282,1078858,26421910.0,2942526120.0,735643900.0
2020-02-14,'603332,кужщаЗ╫э,24.04,24.18,23.8,24.04,23.95,0.09,0.3758,2.4885,739948,17762307.0,2859269520.0,714829400.0
2020-02-13,'603332,кужщаЗ╫э,23.95,24.66,23.88,24.66,24.53,-0.58,-2.3645,5.2437,1559205,37617890.0,2848565100.0,712153250.0
2020-02-12,'603332,кужщаЗ╫э,24.53,24.57,24.32,24.5,24.47,0.06,0.2452,4.0599,1207200,29524049.0,2917549140.0,729399550.0
2020-02-11,'603332,кужщаЗ╫э,24.47,24.95,24.36,24.63,24.58,-0.11,-0.4475,2.9869,888158,21826599.0,2910412860.0,727615450.0
2020-02-10,'603332,кужщаЗ╫э,24.58,24.64,24.2,24.56,24.56,0.02,0.0814,3.903,1160558,28375900.0,2923496040.0,730886300.0
2020-02-07,'603332,кужщаЗ╫э,24.56,24.59,23.94,23.95,24.04,0.52,2.1631,5.1202,1522500,37007186.0,2921117280.0,730291600.0
2020-02-06,'603332,кужщаЗ╫э,24.04,24.1,23.48,23.49,23.62,0.42,1.7782,5.0576,1503867,36057302.0,2859269520.0,714829400.0
