代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率,市净率
688617,N惠泰,259,247.84%,184.54,7.80万,18.79亿,73.72%,274.89,220,221.73,74.46,-,56.81%,180.94,10.99
688686,奥普特,313.7,14.53%,39.8,3.28万,9.46亿,20.08%,318,263,263,273.9,0.84,19.27%,106.96,11.6
688390,固德威,324,14.08%,40,1.23万,3.76亿,16.14%,330.17,284.33,287,284,1.17,6.12%,108.68,20.48
688408,中信博,182.7,10.39%,17.19,1.14万,2.04亿,13.97%,188.64,165.51,166,165.51,1.24,3.78%,107.43,10.46
601866,中远海发,3.26,10.14%,0.3,161.35万,5.15亿,9.80%,3.26,2.97,3.01,2.96,1.6,2.03%,16.97,2.09
603993,洛阳钼业,7.43,10.07%,0.68,693.83万,50.30亿,10.96%,7.43,6.69,6.76,6.75,1.56,3.93%,74.78,3.98
600405,动力源,8.31,10.07%,0.76,89.31万,7.04亿,15.89%,8.31,7.11,7.31,7.55,2.32,16.14%,161.66,4.31
600733,北汽蓝谷,8.75,10.06%,0.8,65.21万,5.42亿,10.69%,8.75,7.9,7.95,7.95,1.71,3.57%,-7.95,2.11
600257,大湖股份,7.33,10.06%,0.67,42.84万,3.06亿,11.71%,7.33,6.55,6.55,6.66,0.78,8.90%,465.82,3.03
600152,维科技术,7.78,10.04%,0.71,18.66万,1.39亿,11.60%,7.78,6.96,7.08,7.07,1.84,6.15%,57.91,2.32
603063,禾望电气,22.32,10.00%,2.03,18.35万,3.98亿,9.91%,22.32,20.31,20.31,20.29,1.7,4.29%,29.54,3.49
600309,万华化学,108.26,10.00%,9.84,35.92万,38.05亿,5.76%,108.26,102.59,103.8,98.42,2.92,2.52%,47.66,7.73
605277,新亚电子,26.85,10.00%,2.44,1491,400.45万,0.00%,26.85,26.85,26.85,24.41,0.72,0.45%,33.93,3.67
605179,一鸣食品,25.86,10.00%,2.35,38.37万,9.49亿,9.95%,25.86,23.52,24.4,23.51,15.63,62.90%,78.62,8.25
600655,豫园股份,13.02,9.97%,1.18,210.33万,26.83亿,8.61%,13.02,12,12.4,11.84,28.15,13.10%,23.88,1.62
603596,伯特利,38.2,9.96%,3.46,5.40万,2.00亿,11.63%,38.21,34.17,35.2,34.74,2.31,3.15%,39.01,6.21
600223,鲁商发展,8.84,9.95%,0.8,11.79万,1.04亿,0.00%,8.84,8.84,8.84,8.04,0.89,1.17%,16.2,2.97
603486,科沃斯,96.22,9.92%,8.68,3.92万,3.61亿,10.46%,96.29,87.13,87.13,87.54,1.68,2.18%,162.87,19.83
603599,广信股份,24.53,9.80%,2.19,22.48万,5.40亿,9.67%,24.57,22.41,22.41,22.34,3.09,4.87%,19.63,2.08
600490,鹏欣资源,4.96,9.73%,0.44,124.63万,6.00亿,11.73%,4.97,4.44,4.46,4.52,2.76,7.42%,123.37,1.73
603486,科沃斯,96,9.66%,8.46,3.92万,3.61亿,10.46%,96.29,87.13,87.13,87.54,1.68,2.18%,162.5,19.79
600685,中船防务,32.87,9.53%,2.86,39.83万,12.15亿,12.93%,32.9,29.02,29.68,30.01,1.25,4.85%,10.5,3.37
603565,中谷物流,25.57,8.99%,2.11,14.73万,3.76亿,6.39%,25.81,24.31,24.4,23.46,4.79,22.09%,25.85,3.67
688277,天智航-U,46.33,8.91%,3.79,4.97万,2.28亿,17.40%,48.71,41.31,42,42.54,3.1,13.50%,-283.86,19.36
601369,陕鼓动力,7.84,8.74%,0.63,34.80万,2.69亿,11.37%,7.93,7.11,7.21,7.21,3.62,2.12%,17.53,1.91
601898,中煤能源,4.68,8.58%,0.37,92.94万,4.31亿,10.67%,4.74,4.28,4.29,4.31,5.11,1.02%,11.2,0.62
600176,中国巨石,21.71,8.06%,1.62,50.55万,10.83亿,9.26%,21.98,20.12,20.12,20.09,1.68,1.44%,44.57,4.63
600893,航发动力,74,8.03%,5.5,46.62万,33.26亿,9.68%,74.3,67.67,68.52,68.5,1.19,2.21%,233.52,5.54
603799,华友钴业,95.66,7.48%,6.66,33.03万,30.94亿,8.43%,97,89.5,89.5,89,1.21,2.98%,119.24,11.29
603806,福斯特,96.56,7.38%,6.64,4.86万,4.59亿,7.32%,97.5,90.92,90.92,89.92,1.55,0.63%,63.96,9.31
601633,长城汽车,40.38,7.34%,2.76,32.61万,12.76亿,9.94%,40.73,36.99,37.4,37.62,1.26,0.54%,107.41,6.79
688339,亿华通-U,272,7.30%,18.5,8852,2.40亿,4.87%,275.8,263.45,263.45,253.5,1.35,5.79%,-250.4,8.58
600986,科达股份,4.43,7.00%,0.29,50.53万,2.26亿,5.07%,4.55,4.34,4.35,4.14,5.46,3.84%,43.06,1.61
601799,星宇股份,211.26,6.70%,13.26,1.61万,3.31亿,9.09%,214,196.01,196.87,198,1.17,0.58%,61.89,10.97
600499,科达制造,9.31,6.64%,0.58,82.54万,7.44亿,10.31%,9.45,8.55,8.89,8.73,1.95,5.23%,85.6,2.98
600753,东方银星,17.28,6.40%,1.04,6.10万,1.03亿,12.56%,17.75,15.71,15.72,16.24,1.77,3.41%,246.23,14.66
688063,派能科技,333,6.39%,20,4.56万,14.52亿,14.41%,343.14,298.03,310.03,313,0.61,12.67%,196.59,19.42
600031,三一重工,39.26,6.22%,2.3,88.06万,33.91亿,6.76%,39.78,37.28,37.5,36.96,1.59,1.04%,20.05,6.24
600760,中航沈飞,98.39,6.04%,5.6,19.17万,18.07亿,8.94%,98.8,90.5,91.23,92.79,1.07,1.37%,89,13.98
601222,林洋能源,9.27,5.94%,0.52,97.63万,8.98亿,6.17%,9.45,8.91,8.91,8.75,1.64,5.58%,13,1.56
600760,中航沈飞,98.2,5.83%,5.41,19.18万,18.08亿,8.94%,98.8,90.5,91.23,92.79,1.07,1.37%,88.83,13.95
603515,欧普照明,33.03,5.80%,1.81,3.80万,1.24亿,8.90%,33.8,31.02,31.31,31.22,2.5,0.50%,36.72,5.02
600711,盛屯矿业,9.51,5.67%,0.51,300.95万,28.57亿,11.00%,9.89,8.9,8.96,9,1.52,13.44%,69.76,2.72
601717,郑煤机,11.22,5.65%,0.6,31.35万,3.46亿,11.39%,11.58,10.37,10.5,10.62,1.46,2.10%,12.02,1.49
600362,江西铜业,22.26,5.65%,1.19,98.33万,21.54亿,7.45%,22.64,21.07,21.07,21.07,2.38,4.74%,37.72,1.46
601600,中国铝业,3.94,5.63%,0.21,276.42万,11.00亿,10.99%,4.1,3.69,3.71,3.73,3.33,2.11%,111.34,1.34
600019,宝钢股份,6.28,5.55%,0.33,175.62万,10.85亿,5.55%,6.35,6.02,6.02,5.95,3.13,0.79%,13.35,0.78
600141,兴发集团,11.78,5.46%,0.61,22.03万,2.53亿,6.54%,11.82,11.09,11.1,11.17,2.59,2.62%,27.3,1.43
600962,国投中鲁,9.62,5.37%,0.49,17.22万,1.69亿,10.95%,10.04,9.04,9.06,9.13,2.15,6.78%,935.01,3.01
600395,盘江股份,8.08,5.35%,0.41,25.81万,2.07亿,8.87%,8.33,7.65,7.68,7.67,1.68,1.56%,16.73,1.92
601899,紫金矿业,11.05,5.24%,0.55,326.48万,35.73亿,8.95%,11.32,10.38,10.43,10.5,1.57,1.66%,46,5.85
603658,安图生物,151.63,5.15%,7.43,5.37万,7.98亿,6.91%,153.3,143.33,144.2,144.2,1.24,1.25%,99.72,10.96
600516,方大炭素,7.36,5.14%,0.36,142.63万,10.31亿,8.14%,7.47,6.9,7.03,7,2.05,3.75%,52.47,1.81
601012,隆基股份,112.5,5.14%,5.5,70.32万,78.00亿,6.80%,114.78,107.5,109.58,107,1.23,1.86%,50.06,13.08
601311,骆驼股份,10.25,5.13%,0.5,52.51万,5.24亿,7.79%,10.37,9.61,9.77,9.75,1.45,4.68%,19.14,1.72
601258,ST庞大,1.04,5.05%,0.05,19.57万,2035.56万,0.00%,1.04,1.04,1.04,0.99,0.36,0.19%,103.31,1.01
603188,ST亚邦,5.43,5.03%,0.26,1.54万,836.00万,0.77%,5.43,5.39,5.43,5.17,1.38,0.27%,-9.33,1.16
600982,宁波热电,4.18,5.03%,0.2,116.95万,5.02亿,6.03%,4.38,4.14,4.25,3.98,3.23,15.66%,23.46,1.35
601636,旗滨集团,12.57,5.01%,0.6,61.61万,7.58亿,7.52%,12.7,11.8,11.91,11.97,1.33,2.30%,20.83,3.86
600038,中直股份,70.4,5.01%,3.36,11.21万,7.75亿,6.56%,70.65,66.25,66.5,67.04,1.2,1.90%,63.46,4.87
